,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC_W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,14,17:48,,0,,5 (+5),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 0-5 (+5),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,1068
15,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,15,--,,,,,"ASSIST  by WINSTEAD,BRIDGET",,,"ASSIST  by WINSTEAD,BRIDGET",1,assist,,Centre,bridget winstead,,
16,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,16,17:28,"MISS 3PTR by KING,CAROLINE",,,,,,,"MISS 3PTR by KING,CAROLINE",1,three pointer,missed,birmingham southern,caroline king,,1048
17,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,17,--,,,,,"REBOUND DEF by WINSTEAD,BRIDGET",,,"REBOUND DEF by WINSTEAD,BRIDGET",1,defensive rebound,,Centre,bridget winstead,,
18,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,18,17:08,,,,,"MISS 3PTR by BENHAM,CHELSEA",,,"MISS 3PTR by BENHAM,CHELSEA",1,three pointer,missed,Centre,chelsea benham,,1028
19,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,19,--,"REBOUND DEF by SHORT,MELANIE",,,,,,,"REBOUND DEF by SHORT,MELANIE",1,defensive rebound,,birmingham southern,melanie short,,
20,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,20,16:54,"GOOD LAYUP by ADAMS,ALEX(in the paint)",2,,5 (+3),,BSC_W 2-5 (+3),,"GOOD LAYUP by ADAMS,ALEX(in the paint)",1,layup,good,birmingham southern,alex adams,2,1014
21,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,21,--,"ASSIST  by SHORT,MELANIE",,,,,,,"ASSIST  by SHORT,MELANIE",1,assist,,birmingham southern,melanie short,,
22,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,22,16:39,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,999
23,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,23,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
24,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,24,16:24,,,,,"TURNOVER  by BENHAM,CHELSEA",,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,984
25,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,25,16:24,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,984
26,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,26,16:24,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,984
27,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,27,16:14,"MISS LAYUP by KING,CAROLINE",,,,,,,"MISS LAYUP by KING,CAROLINE",1,layup,missed,birmingham southern,caroline king,,974
28,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,28,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
29,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,29,16:03,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,963
30,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,30,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
