,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,14,18:19,"GOOD JUMPER by LOGAN,VALERIE",2 (+2),,0,,SUW 2-0 (-2),,"GOOD JUMPER by LOGAN,VALERIE",1,jumper,good,southwestern univ.,valerie logan,2,1099
15,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,15,17:48,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1068
16,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,16,17:44,"STEAL  by LOGAN,VALERIE",,,,,,,"STEAL  by LOGAN,VALERIE",1,steal,,southwestern univ.,,,1064
17,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,17,17:34,"MISS LAYUP by OWENS,JORDAN",,,,,,,"MISS LAYUP by OWENS,JORDAN",1,layup,missed,southwestern univ.,jordan owens,,1054
18,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,18,--,"REBOUND OFF by BOURNE,ANNIE",,,,,,,"REBOUND OFF by BOURNE,ANNIE",1,offensive rebound,,southwestern univ.,annie bourne,,
19,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,19,17:25,"GOOD LAYUP by FAREED,ANNA(in the paint)",4 (+4),,0,,SUW 4-0 (-4),,"GOOD LAYUP by FAREED,ANNA(in the paint)",1,layup,good,southwestern univ.,anna fareed,2,1045
20,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,20,17:05,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1025
21,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,21,17:03,"STEAL  by OWENS,JORDAN",,,,,,,"STEAL  by OWENS,JORDAN",1,steal,,southwestern univ.,,,1023
22,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,22,16:58,"MISS 3PTR by LEEDER,CHELSEA",,,,,,,"MISS 3PTR by LEEDER,CHELSEA",1,three pointer,missed,southwestern univ.,chelsea leeder,,1018
23,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,23,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
24,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,24,16:56,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,1016
25,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,25,16:56,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,1016
