,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,17,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
18,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,18,17:52,"FOUL  by OKEKE,JANICE",,,,,,,"FOUL  by OKEKE,JANICE",1,foul,,millsaps,janice okeke,,1072
19,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,19,17:52,,0,,4 (+4),"GOOD FT by HUTER,LAUREN",CENTRE 0-4 (+4),,"GOOD FT by HUTER,LAUREN",1,free throw,good,Centre,lauren huter,1,1072
20,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,20,17:52,,,,,"MISS FT by HUTER,LAUREN",,,"MISS FT by HUTER,LAUREN",1,free throw,missed,Centre,lauren huter,,1072
21,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,21,--,"REBOUND DEF by MORTON,SHANTE",,,,,,,"REBOUND DEF by MORTON,SHANTE",1,defensive rebound,,millsaps,shante morton,,
22,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,22,17:41,"MISS 3PTR by MORTON,SHANTE",,,,,,,"MISS 3PTR by MORTON,SHANTE",1,three pointer,missed,millsaps,shante morton,,1061
23,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,23,--,"REBOUND OFF by OKEKE,JANICE",,,,,,,"REBOUND OFF by OKEKE,JANICE",1,offensive rebound,,millsaps,janice okeke,,
24,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,24,17:38,"GOOD LAYUP by OKEKE,JANICE(in the paint)",2,,4 (+2),,MC 2-4 (+2),,"GOOD LAYUP by OKEKE,JANICE(in the paint)",1,layup,good,millsaps,janice okeke,2,1058
25,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,25,17:20,,,,,"TURNOVER  by BENHAM,CHELSEA",,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,1040
26,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,26,17:20,"STEAL  by OKEKE,JANICE",,,,,,,"STEAL  by OKEKE,JANICE",1,steal,,millsaps,,,1040
