,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,14,17:16,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",4,,5 (+1),,CENTRE_W 4-5 (-1),,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",1,layup,good,Centre,maggie prewitt,2,1036
15,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,15,17:00,,4,,8 (+4),"GOOD 3PTR by LOVE,LOVIE",MSPS 4-8 (-4),,"GOOD 3PTR by LOVE,LOVIE",1,three pointer,good,millsaps,lovie love,3,1020
16,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,16,--,,,,,"ASSIST  by WHITE,SHATOYA",,,"ASSIST  by WHITE,SHATOYA",1,assist,,millsaps,shatoya white,,
17,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,17,16:28,"GOOD JUMPER by BENHAM,CHELSEA",6,,8 (+2),,CENTRE_W 6-8 (-2),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,988
18,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,18,16:08,,,,,"TURNOVER  by MORTON,SHANTE",,,"TURNOVER  by MORTON,SHANTE",1,turnover,,millsaps,shante morton,,968
19,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,19,16:08,,,,,"SUB IN by OKEKE,JANICE",,,"SUB IN by OKEKE,JANICE",1,subbing in,,millsaps,janice okeke,,968
20,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,20,16:08,,,,,"SUB OUT by MORTON,SHANTE",,,"SUB OUT by MORTON,SHANTE",1,subbing out,,millsaps,shante morton,,968
21,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,21,15:55,"GOOD JUMPER by PREWITT,MAGGIE",8,,8,,CENTRE_W 8-8 (0),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,955
22,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,22,15:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,948
23,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,23,15:23,,,,,"MISS JUMPER by WHITE,SHATOYA",,,"MISS JUMPER by WHITE,SHATOYA",1,jumper,missed,millsaps,shatoya white,,923
24,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,24,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
25,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,25,15:16,"TURNOVER  by PREWITT,MAGGIE",,,,,,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,916
26,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,26,15:15,,,,,"STEAL  by OKEKE,JANICE",,,"STEAL  by OKEKE,JANICE",1,steal,,millsaps,,,915
27,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,27,15:12,,8,,10 (+2),"GOOD LAYUP by OKEKE,JANICE(in the paint)",MSPS 8-10 (-2),,"GOOD LAYUP by OKEKE,JANICE(in the paint)",1,layup,good,millsaps,janice okeke,2,912
28,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,28,14:44,"MISS JUMPER by BENHAM,CHELSEA",,,,,,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,884
29,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,29,--,"REBOUND OFF by HUTER,LAUREN",,,,,,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
30,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,30,14:40,"GOOD LAYUP by HUTER,LAUREN(in the paint)",10,,10,,CENTRE_W 10-10 (0),,"GOOD LAYUP by HUTER,LAUREN(in the paint)",1,layup,good,Centre,lauren huter,2,880
31,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,31,14:25,,10,,13 (+3),"GOOD 3PTR by JOHNSON,VELVET",MSPS 10-13 (-3),,"GOOD 3PTR by JOHNSON,VELVET",1,three pointer,good,millsaps,velvet johnson,3,865
32,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,32,--,,,,,"ASSIST  by EARL,BRITTNEI",,,"ASSIST  by EARL,BRITTNEI",1,assist,,millsaps,brittnei earl,,
33,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,33,14:02,"MISS LAYUP by HUTER,LAUREN",,,,,,,"MISS LAYUP by HUTER,LAUREN",1,layup,missed,Centre,lauren huter,,842
34,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,34,--,,,,,"REBOUND DEF by OKEKE,JANICE",,,"REBOUND DEF by OKEKE,JANICE",1,defensive rebound,,millsaps,janice okeke,,
35,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,35,13:56,,,,,"MISS JUMPER by LOVE,LOVIE",,,"MISS JUMPER by LOVE,LOVIE",1,jumper,missed,millsaps,lovie love,,836
36,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,36,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
37,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,37,13:53,"SUB IN by HARTLAGE,MAGGIE",,,,,,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,833
38,5,millsaps,Centre College,Millsaps,66-61,66,61,"28, 38, 66","28, 33, 61",28,38,66,28,33,61,4-1 (1-0 SCAC),3-2 (0-1 SCAC),12/02/11,Win,164,No Location Recorded,6:00 p.m.,A,38,13:53,"SUB IN by BAECHLE,PAIGE",,,,,,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,833
