,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,13,08:37,"MISS LAYUP by GUY,ALEXIS",,,,,,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,517
14,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,14,08:37,,,,,"BLOCK  by FLORES,ESTRELLA",,,"BLOCK  by FLORES,ESTRELLA",1,block,,hendrix,estrella flores,,517
15,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,15,--,,,,,"REBOUND DEF by KRIESEL-BIGLER,CAIT",,,"REBOUND DEF by KRIESEL-BIGLER,CAIT",1,defensive rebound,,hendrix,cait kriesel-bigler,,
16,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,16,08:30,,0,,8 (+8),"GOOD 3PTR by KRIESEL-BIGLER,CAIT(fastbreak)",HC 0-8 (-8),,"GOOD 3PTR by KRIESEL-BIGLER,CAIT(fastbreak)",1,three pointer,good,hendrix,cait(fastbreak) kriesel-bigler,3,510
17,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,17,--,,,,,"ASSIST  by GALLIEN,KATY",,,"ASSIST  by GALLIEN,KATY",1,assist,,hendrix,katy gallien,,
18,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,18,08:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,504
19,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,19,08:07,"MISS 3PTR by GUY,ALEXIS",,,,,,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,487
20,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,20,--,,,,,"REBOUND DEF by FLORES,ESTRELLA",,,"REBOUND DEF by FLORES,ESTRELLA",1,defensive rebound,,hendrix,estrella flores,,
21,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,21,07:37,,,,,"MISS LAYUP by KRIESEL-BIGLER,CAIT",,,"MISS LAYUP by KRIESEL-BIGLER,CAIT",1,layup,missed,hendrix,cait kriesel-bigler,,457
22,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,22,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
