,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,1,09:44,"MISS JUMPER by DANIELS,SYMONE",,,,,,,"MISS JUMPER by DANIELS,SYMONE",1,jumper,missed,rhodes,symone daniels,,584
2,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,2,--,,,,,"REBOUND DEF by MCKNIGHT,KAITLYN",,,"REBOUND DEF by MCKNIGHT,KAITLYN",1,defensive rebound,,Centre,kaitlyn mcknight,,
3,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,3,09:14,,0,,2 (+2),"GOOD JUMPER by MCKNIGHT,KAITLYN",CENTRE-W 0-2 (+2),,"GOOD JUMPER by MCKNIGHT,KAITLYN",1,jumper,good,Centre,kaitlyn mcknight,2,554
4,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,4,--,,,,,"ASSIST  by SCHAD,OLIVIA",,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
5,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,5,08:50,"MISS 3PTR by DANIELS,SYMONE",,,,,,,"MISS 3PTR by DANIELS,SYMONE",1,three pointer,missed,rhodes,symone daniels,,530
6,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,6,--,"REBOUND OFF by SMITH,BLAIRE",,,,,,,"REBOUND OFF by SMITH,BLAIRE",1,offensive rebound,,rhodes,blaire smith,,
7,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,7,08:33,"MISS JUMPER by ECKERT,CATHERINE",,,,,,,"MISS JUMPER by ECKERT,CATHERINE",1,jumper,missed,rhodes,catherine eckert,,513
8,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,8,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
9,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,9,08:12,,,,,"TURNOVER  by SCHAD,OLIVIA",,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,492
10,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,10,08:10,"STEAL  by ECKERT,CATHERINE",,,,,,,"STEAL  by ECKERT,CATHERINE",1,steal,,rhodes,,,490
11,13,rhodes,Rhodes,Centre,62-68,62,68,"14, 14, 9, 25, 62","14, 19, 11, 24, 68",14,14,9,25,62,14,19,11,24,68,"3-9, 1-0 SAA","6-6, 0-1 SAA",01/08/16,Lose,475,No Location Recorded,6:00 PM,H,11,08:09,,,,,"FOUL  by GUY,ALEXIS",,,"FOUL  by GUY,ALEXIS",1,foul,,Centre,alexis guy,,489
