,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,14,08:08,,0,,5 (+5),"GOOD LAYUP by MOSS,SYDNEY(fastbreak)(in the paint)",TMC 0-5 (-5),,"GOOD LAYUP by MOSS,SYDNEY(fastbreak)(in the paint)",1,layup,good,thomas more,sydney(fastbreak) moss,2,488
15,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,15,--,,,,,"ASSIST  by OWINGS,ABBY",,,"ASSIST  by OWINGS,ABBY",1,assist,,thomas more,abby owings,,
16,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,16,07:54,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,474
17,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,17,--,,,,,"REBOUND DEF by TEMPLE,MADISON",,,"REBOUND DEF by TEMPLE,MADISON",1,defensive rebound,,thomas more,madison temple,,
18,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,18,07:44,,0,,8 (+8),"GOOD 3PTR by OWINGS,ABBY",TMC 0-8 (-8),,"GOOD 3PTR by OWINGS,ABBY",1,three pointer,good,thomas more,abby owings,3,464
19,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,19,--,,,,,"ASSIST  by MOSS,SYDNEY",,,"ASSIST  by MOSS,SYDNEY",1,assist,,thomas more,sydney moss,,
20,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,20,07:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,460
21,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,21,07:40,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,460
22,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,22,07:40,"SUB IN by VANCE,DAY",,,,,,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,460
23,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,23,07:40,"SUB OUT by MCKNIGHT,KAITLYN",,,,,,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,460
