,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SAL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,15,--,,,,,"ASSIST  by ANDREASSEN,CAROLINE",,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
16,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,16,07:39,,,,,"SUB IN by VANCE,DAY",,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,459
17,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,17,07:39,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,459
18,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,18,07:39,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,459
19,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,19,07:39,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,459
20,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,20,07:23,"MISS JUMPER by SEIVERS,MIKAYLA",,,,,,,"MISS JUMPER by SEIVERS,MIKAYLA",1,jumper,missed,salem,mikayla seivers,,443
21,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,21,--,"REBOUND OFF by SEIVERS,MIKAYLA",,,,,,,"REBOUND OFF by SEIVERS,MIKAYLA",1,offensive rebound,,salem,mikayla seivers,,
22,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,22,07:18,"MISS LAYUP by SEIVERS,MIKAYLA",,,,,,,"MISS LAYUP by SEIVERS,MIKAYLA",1,layup,missed,salem,mikayla seivers,,438
23,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,23,--,"REBOUND OFF by WEBB,AALIYAH",,,,,,,"REBOUND OFF by WEBB,AALIYAH",1,offensive rebound,,salem,aaliyah webb,,
24,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,24,07:14,"TURNOVER  by LEWIS,QUNTASHEA",,,,,,,"TURNOVER  by LEWIS,QUNTASHEA",1,turnover,,salem,quntashea lewis,,434
25,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,25,07:13,,,,,"STEAL  by VANCE,DAY",,,"STEAL  by VANCE,DAY",1,steal,,Centre,,,433
26,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,26,07:10,,,,,"MISS JUMPER by VANCE,DAY",,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,430
27,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,27,--,"REBOUND DEF by BLANTON,TAMARA",,,,,,,"REBOUND DEF by BLANTON,TAMARA",1,defensive rebound,,salem,tamara blanton,,
28,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,28,07:04,"GOOD JUMPER by WEBB,AALIYAH(fastbreak)",2,,4 (+2),,SAL 2-4 (+2),,"GOOD JUMPER by WEBB,AALIYAH(fastbreak)",1,jumper,good,salem,aaliyah(fastbreak) webb,2,424
29,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,29,--,"ASSIST  by BLANTON,TAMARA",,,,,,,"ASSIST  by BLANTON,TAMARA",1,assist,,salem,tamara blanton,,
30,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,30,06:40,,2,,7 (+5),"GOOD 3PTR by GUY,ALEXIS",CENTRE-W 2-7 (+5),,"GOOD 3PTR by GUY,ALEXIS",1,three pointer,good,Centre,alexis guy,3,400
31,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,31,--,,,,,"ASSIST  by SCHAD,OLIVIA",,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
32,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,32,06:16,"MISS JUMPER by WEBB,AALIYAH",,,,,,,"MISS JUMPER by WEBB,AALIYAH",1,jumper,missed,salem,aaliyah webb,,376
33,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,33,--,"REBOUND OFF by PENLEY,ELIZABETH",,,,,,,"REBOUND OFF by PENLEY,ELIZABETH",1,offensive rebound,,salem,elizabeth penley,,
