,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SAL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
66,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,66,03:15,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,195
67,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,67,03:15,,,,,"SUB IN by STEWART,ABIGAIL",,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,195
68,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,68,03:15,,,,,"SUB IN by MCKNIGHT,KAITLYN",,,"SUB IN by MCKNIGHT,KAITLYN",1,subbing in,,Centre,kaitlyn mcknight,,195
69,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,69,03:15,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,195
70,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,70,03:15,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,195
71,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,71,03:15,,,,,"SUB OUT by JUDY,MICHELE",,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,195
72,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,72,03:15,,,,,"SUB OUT by VANCE,DAY",,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,195
73,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,73,03:15,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,195
74,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,74,03:15,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,195
75,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,75,03:15,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,195
76,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,76,02:44,,7,,16 (+9),"GOOD JUMPER by ANDREASSEN,CAROLINE",CENTRE-W 7-16 (+9),,"GOOD JUMPER by ANDREASSEN,CAROLINE",1,jumper,good,Centre,caroline andreassen,2,164
77,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,77,02:37,"GOOD LAYUP by WEBB,AALIYAH(in the paint)",9,,16 (+7),,SAL 9-16 (+7),,"GOOD LAYUP by WEBB,AALIYAH(in the paint)",1,layup,good,salem,aaliyah webb,2,157
78,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,78,02:13,,,,,"MISS 3PTR by SCHAD,OLIVIA",,,"MISS 3PTR by SCHAD,OLIVIA",1,three pointer,missed,Centre,olivia schad,,133
79,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,79,--,"REBOUND DEF by WEBB,AALIYAH",,,,,,,"REBOUND DEF by WEBB,AALIYAH",1,defensive rebound,,salem,aaliyah webb,,
80,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,80,01:59,"MISS JUMPER by LEWIS,QUNTASHEA",,,,,,,"MISS JUMPER by LEWIS,QUNTASHEA",1,jumper,missed,salem,quntashea lewis,,119
81,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,81,--,,,,,"REBOUND DEF by SCHAD,OLIVIA",,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
82,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,82,01:38,,9,,18 (+9),"GOOD LAYUP by MCKNIGHT,KAITLYN(in the paint)",CENTRE-W 9-18 (+9),,"GOOD LAYUP by MCKNIGHT,KAITLYN(in the paint)",1,layup,good,Centre,kaitlyn mcknight,2,98
83,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,83,--,,,,,"ASSIST  by ANDREASSEN,CAROLINE",,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
84,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,84,01:20,"GOOD LAYUP by SEIVERS,MIKAYLA(in the paint)",11,,18 (+7),,SAL 11-18 (+7),,"GOOD LAYUP by SEIVERS,MIKAYLA(in the paint)",1,layup,good,salem,mikayla seivers,2,80
85,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,85,01:04,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,64
86,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,86,--,"REBOUND DEF by SEIVERS,MIKAYLA",,,,,,,"REBOUND DEF by SEIVERS,MIKAYLA",1,defensive rebound,,salem,mikayla seivers,,
87,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,87,00:50,"MISS JUMPER by LEWIS,QUNTASHEA",,,,,,,"MISS JUMPER by LEWIS,QUNTASHEA",1,jumper,missed,salem,quntashea lewis,,50
88,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,88,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
89,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,89,00:49,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,49
90,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,90,00:49,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,49
91,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,91,00:26,,11,,20 (+9),"GOOD JUMPER by ANDREASSEN,CAROLINE(in the paint)",CENTRE-W 11-20 (+9),,"GOOD JUMPER by ANDREASSEN,CAROLINE(in the paint)",1,jumper,good,Centre,caroline andreassen,2,26
92,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,92,00:09,"MISS JUMPER by WEBB,AALIYAH",,,,,,,"MISS JUMPER by WEBB,AALIYAH",1,jumper,missed,salem,aaliyah webb,,9
93,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,93,--,,,,,"REBOUND DEF by MILLER,LAKKEN",,,"REBOUND DEF by MILLER,LAKKEN",1,defensive rebound,,Centre,lakken miller,,
94,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,94,00:01,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,1
95,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,95,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
96,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,96,Start Period 2,,,,,,,,,2,,,,,,
97,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,97,10:00,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",2,subbing in,,Centre,madison rice,,600
98,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,98,10:00,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",2,subbing in,,Centre,paige kellam,,600
99,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,99,10:00,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",2,subbing out,,Centre,kaitlyn mcknight,,600
100,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,100,10:00,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",2,subbing out,,Centre,olivia schad,,600
101,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,101,09:55,,,,,"MISS JUMPER by STEWART,ABIGAIL",,,"MISS JUMPER by STEWART,ABIGAIL",2,jumper,missed,Centre,abigail stewart,,595
102,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,102,--,"REBOUND DEF by BLANTON,TAMARA",,,,,,,"REBOUND DEF by BLANTON,TAMARA",2,defensive rebound,,salem,tamara blanton,,
103,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,103,09:46,"MISS LAYUP by BLANTON,TAMARA",,,,,,,"MISS LAYUP by BLANTON,TAMARA",2,layup,missed,salem,tamara blanton,,586
104,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,104,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",2,defensive rebound,,Centre,abigail stewart,,
105,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,105,09:39,,,,,"MISS 3PTR by GUY,ALEXIS",,,"MISS 3PTR by GUY,ALEXIS",2,three pointer,missed,Centre,alexis guy,,579
106,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,106,--,,,,,"REBOUND OFF by STEWART,ABIGAIL",,,"REBOUND OFF by STEWART,ABIGAIL",2,offensive rebound,,Centre,abigail stewart,,
107,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,107,09:33,,11,,22 (+11),"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",CENTRE-W 11-22 (+11),,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",2,layup,good,Centre,abigail stewart,2,573
108,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,108,09:17,"MISS 3PTR by BLANTON,TAMARA",,,,,,,"MISS 3PTR by BLANTON,TAMARA",2,three pointer,missed,salem,tamara blanton,,557
109,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,109,--,"REBOUND OFF by LEWIS,QUNTASHEA",,,,,,,"REBOUND OFF by LEWIS,QUNTASHEA",2,offensive rebound,,salem,quntashea lewis,,
110,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,110,09:12,"GOOD LAYUP by LEWIS,QUNTASHEA(in the paint)",13,,22 (+9),,SAL 13-22 (+9),,"GOOD LAYUP by LEWIS,QUNTASHEA(in the paint)",2,layup,good,salem,quntashea lewis,2,552
111,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,111,08:50,,13,,24 (+11),"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",CENTRE-W 13-24 (+11),,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",2,jumper,good,Centre,abigail stewart,2,530
112,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,112,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",2,assist,,Centre,paige kellam,,
113,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,113,08:31,"MISS JUMPER by BLANTON,TAMARA",,,,,,,"MISS JUMPER by BLANTON,TAMARA",2,jumper,missed,salem,tamara blanton,,511
114,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,114,--,"REBOUND OFF by LEWIS,QUNTASHEA",,,,,,,"REBOUND OFF by LEWIS,QUNTASHEA",2,offensive rebound,,salem,quntashea lewis,,
115,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,115,08:27,"GOOD LAYUP by LEWIS,QUNTASHEA(in the paint)",15,,24 (+9),,SAL 15-24 (+9),,"GOOD LAYUP by LEWIS,QUNTASHEA(in the paint)",2,layup,good,salem,quntashea lewis,2,507
116,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,116,08:03,,,,,"MISS JUMPER by GUY,ALEXIS",,,"MISS JUMPER by GUY,ALEXIS",2,jumper,missed,Centre,alexis guy,,483
117,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,117,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2,defensive rebound,,Centre,,,
118,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,118,08:02,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",2,subbing in,,Centre,michele judy,,482
119,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,119,08:02,,,,,"SUB IN by MCKNIGHT,KAITLYN",,,"SUB IN by MCKNIGHT,KAITLYN",2,subbing in,,Centre,kaitlyn mcknight,,482
120,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,120,08:02,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",2,subbing out,,Centre,madison rice,,482
121,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,121,08:02,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",2,subbing out,,Centre,abigail stewart,,482
122,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,122,07:54,"MISS 3PTR by LEWIS,QUNTASHEA",,,,,,,"MISS 3PTR by LEWIS,QUNTASHEA",2,three pointer,missed,salem,quntashea lewis,,474
123,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,123,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",2,defensive rebound,,Centre,michele judy,,
124,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,124,07:46,,,,,"MISS JUMPER by JUDY,MICHELE",,,"MISS JUMPER by JUDY,MICHELE",2,jumper,missed,Centre,michele judy,,466
125,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,125,--,"REBOUND DEF by LEWIS,QUNTASHEA",,,,,,,"REBOUND DEF by LEWIS,QUNTASHEA",2,defensive rebound,,salem,quntashea lewis,,
126,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,126,07:35,"MISS LAYUP by SEIVERS,MIKAYLA",,,,,,,"MISS LAYUP by SEIVERS,MIKAYLA",2,layup,missed,salem,mikayla seivers,,455
127,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,127,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",2,defensive rebound,,Centre,michele judy,,
128,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,128,07:26,,15,,26 (+11),"GOOD JUMPER by KELLAM,PAIGE",CENTRE-W 15-26 (+11),,"GOOD JUMPER by KELLAM,PAIGE",2,jumper,good,Centre,paige kellam,2,446
129,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,129,06:59,"MISS LAYUP by BLANTON,TAMARA",,,,,,,"MISS LAYUP by BLANTON,TAMARA",2,layup,missed,salem,tamara blanton,,419
130,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,130,06:59,,,,,"BLOCK  by JUDY,MICHELE",,,"BLOCK  by JUDY,MICHELE",2,block,,Centre,michele judy,,419
131,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,131,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",2,defensive rebound,,Centre,paige kellam,,
132,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,132,06:45,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",2,subbing in,,Centre,olivia schad,,405
133,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,133,06:45,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",2,subbing out,,Centre,paige kellam,,405
134,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,134,06:30,,,,,"FOUL  by JUDY,MICHELE",,,"FOUL  by JUDY,MICHELE",2,foul,,Centre,michele judy,,390
135,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,135,06:30,,,,,"TURNOVER  by JUDY,MICHELE",,,"TURNOVER  by JUDY,MICHELE",2,turnover,,Centre,michele judy,,390
136,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,136,06:22,"TURNOVER  by BLANTON,TAMARA",,,,,,,"TURNOVER  by BLANTON,TAMARA",2,turnover,,salem,tamara blanton,,382
137,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,137,06:10,,,,,"MISS 3PTR by RHULE,BONNIE",,,"MISS 3PTR by RHULE,BONNIE",2,three pointer,missed,Centre,bonnie rhule,,370
