,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MAR-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,15,--,"REBOUND OFF by FRASURE,ASHLEY",,,,,,,"REBOUND OFF by FRASURE,ASHLEY",1,offensive rebound,,marietta,ashley frasure,,
16,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,16,08:13,"GOOD LAYUP by FRASURE,ASHLEY(in the paint)",6 (+6),,0,,MAR-W 6-0 (-6),,"GOOD LAYUP by FRASURE,ASHLEY(in the paint)",1,layup,good,marietta,ashley frasure,2,493
17,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,17,07:53,,,,,"TURNOVER  by MCKNIGHT,KAITLYN",,,"TURNOVER  by MCKNIGHT,KAITLYN",1,turnover,,Centre,kaitlyn mcknight,,473
18,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,18,07:52,"STEAL  by HERD,AMISHA",,,,,,,"STEAL  by HERD,AMISHA",1,steal,,marietta,,,472
19,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,19,07:50,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,470
20,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,20,07:50,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,470
21,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,21,07:50,,,,,"SUB IN by VANCE,DAY",,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,470
22,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,22,07:50,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,470
23,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,23,07:50,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,470
24,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,24,07:50,,,,,"SUB OUT by JUDY,MICHELE",,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,470
25,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,25,07:44,"GOOD LAYUP by BURKHARDT,CORRIE(in the paint)",8 (+8),,0,,MAR-W 8-0 (-8),,"GOOD LAYUP by BURKHARDT,CORRIE(in the paint)",1,layup,good,marietta,corrie burkhardt,2,464
