,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,1,09:38,"MISS 3PTR by BRACKINS,MINDY",,,,,,,"MISS 3PTR by BRACKINS,MINDY",1,three pointer,missed,maryville (tenn.),mindy brackins,,578
2,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,2,--,"REBOUND OFF by FREIERMUTH,ALLYSON",,,,,,,"REBOUND OFF by FREIERMUTH,ALLYSON",1,offensive rebound,,maryville (tenn.),allyson freiermuth,,
3,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,3,09:15,"GOOD LAYUP by PUCKETT,MACKENZIE(in the paint)",2 (+2),,0,,MVCW 2-0 (-2),,"GOOD LAYUP by PUCKETT,MACKENZIE(in the paint)",1,layup,good,maryville (tenn.),mackenzie puckett,2,555
4,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,4,09:07,,2,,2,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",CENTRE-W 2-2 (0),,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",1,layup,good,Centre,abigail stewart,2,547
5,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,5,--,,,,,"ASSIST  by GUY,ALEXIS",,,"ASSIST  by GUY,ALEXIS",1,assist,,Centre,alexis guy,,
6,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,6,08:48,"GOOD JUMPER by FREIERMUTH,ALLYSON",4 (+2),,2,,MVCW 4-2 (-2),,"GOOD JUMPER by FREIERMUTH,ALLYSON",1,jumper,good,maryville (tenn.),allyson freiermuth,2,528
7,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,7,--,"ASSIST  by PUCKETT,MACKENZIE",,,,,,,"ASSIST  by PUCKETT,MACKENZIE",1,assist,,maryville (tenn.),mackenzie puckett,,
8,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,8,08:29,,4,,5 (+1),"GOOD 3PTR by RHULE,BONNIE",CENTRE-W 4-5 (+1),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,509
9,1,maryville-tenn-,Maryville (Tenn.),Centre,51-58,51,58,"17, 7, 13, 14, 51","16, 11, 19, 12, 58",17,7,13,14,51,16,11,19,12,58,0-1,1-0,11/15/15,Lose,250,No Location Recorded,1:00 PM,H,9,--,,,,,"ASSIST  by MOORE,KATIE",,,"ASSIST  by MOORE,KATIE",1,assist,,Centre,katie moore,,
