,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,14,07:45,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,465
15,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,15,07:33,,,,,"MISS LAYUP by CASEY,MEGAN",,,"MISS LAYUP by CASEY,MEGAN",1,layup,missed,berry college,megan casey,,453
16,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,16,--,,,,,"REBOUND OFF by MCLURE,VALERIE",,,"REBOUND OFF by MCLURE,VALERIE",1,offensive rebound,,berry college,valerie mclure,,
17,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,17,07:31,,,,,"SUB IN by PIERCE,ZARRIAH",,,"SUB IN by PIERCE,ZARRIAH",1,subbing in,,berry college,zarriah pierce,,451
18,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,18,07:31,,,,,"SUB OUT by MCLURE,VALERIE",,,"SUB OUT by MCLURE,VALERIE",1,subbing out,,berry college,valerie mclure,,451
19,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,19,07:20,,,,,"MISS LAYUP by COOK,EMMA",,,"MISS LAYUP by COOK,EMMA",1,layup,missed,berry college,emma cook,,440
20,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,20,--,,,,,"REBOUND OFF by CASEY,MEGAN",,,"REBOUND OFF by CASEY,MEGAN",1,offensive rebound,,berry college,megan casey,,
21,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,21,07:18,,,,,"MISS LAYUP by CASEY,MEGAN",,,"MISS LAYUP by CASEY,MEGAN",1,layup,missed,berry college,megan casey,,438
22,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,22,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
23,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,23,07:13,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,433
