,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,1,09:30,"GOOD 3PTR by RHULE,BONNIE",3 (+3),,0,,CENTRE 3-0 (+3),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,570
2,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,2,--,"ASSIST  by SCHAD,OLIVIA",,,,,,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
3,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,3,09:03,,,,,"MISS LAYUP by MCDONOUGH,HALEY",,,"MISS LAYUP by MCDONOUGH,HALEY",1,layup,missed,sewanee,haley mcdonough,,543
4,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,4,--,"REBOUND DEF by MCKNIGHT,KAITLYN",,,,,,,"REBOUND DEF by MCKNIGHT,KAITLYN",1,defensive rebound,,Centre,kaitlyn mcknight,,
5,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,5,08:44,,,,,"FOUL  by TAYLOR,BELLA",,,"FOUL  by TAYLOR,BELLA",1,foul,,sewanee,bella taylor,,524
6,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,6,08:35,"MISS JUMPER by GUY,ALEXIS",,,,,,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,515
7,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,7,--,,,,,"REBOUND DEF by CAULDER,COREY",,,"REBOUND DEF by CAULDER,COREY",1,defensive rebound,,sewanee,corey caulder,,
8,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,8,08:17,"FOUL  by MCKNIGHT,KAITLYN",,,,,,,"FOUL  by MCKNIGHT,KAITLYN",1,foul,,Centre,kaitlyn mcknight,,497
9,15,sewanee,Centre,Sewanee,47-58,47,58,"13, 9, 11, 14, 47","13, 13, 24, 8, 58",13,9,11,14,47,13,13,24,8,58,"4-12, 2-2","10-5, 2-2",01/16/16,Lose,858,No Location Recorded,1:00 PM,A,9,08:17,,3 (+2),,1,"GOOD FT by CHAUVIN,JAMIE",SEWANEE 3-1 (+2),,"GOOD FT by CHAUVIN,JAMIE",1,free throw,good,sewanee,jamie chauvin,1,497
