,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,15,07:54,,2,,2,"GOOD JUMPER by MOORE,KATIE(in the paint)",CENTRE-W 2-2 (0),,"GOOD JUMPER by MOORE,KATIE(in the paint)",1,jumper,good,Centre,katie moore,2,474
16,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,16,--,,,,,"ASSIST  by MCKNIGHT,KAITLYN",,,"ASSIST  by MCKNIGHT,KAITLYN",1,assist,,Centre,kaitlyn mcknight,,
17,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,17,07:45,"MISS LAYUP by GARNER,ALEXIS",,,,,,,"MISS LAYUP by GARNER,ALEXIS",1,layup,missed,rust,alexis garner,,465
18,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,18,07:45,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,465
19,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,19,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,rust,,,
20,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,20,07:44,,,,,"SUB IN by VANCE,DAY",,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,464
21,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,21,07:44,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,464
22,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,22,07:40,"MISS JUMPER by C,DEMETRIUS BRADSHAW",,,,,,,"MISS JUMPER by C,DEMETRIUS BRADSHAW",1,jumper,missed,rust,demetrius bradshaw c,,460
23,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,23,--,,,,,"REBOUND DEF by VANCE,DAY",,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
24,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,24,07:14,,2,,4 (+2),"GOOD LAYUP by GUY,ALEXIS(in the paint)",CENTRE-W 2-4 (+2),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,434
