,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,13,--,"REBOUND DEF by CHARLES,BAILEY",,,,,,,"REBOUND DEF by CHARLES,BAILEY",1,defensive rebound,,oglethorpe,bailey charles,,
14,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,14,08:32,,,,,"FOUL  by GUY,ALEXIS",,,"FOUL  by GUY,ALEXIS",1,foul,,Centre,alexis guy,,512
15,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,15,08:32,"GOOD FT by BUCK,EMILY",1 (+1),,0,,OUW 1-0 (-1),,"GOOD FT by BUCK,EMILY",1,free throw,good,oglethorpe,emily buck,1,512
16,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,16,08:32,"GOOD FT by BUCK,EMILY",2 (+2),,0,,OUW 2-0 (-2),,"GOOD FT by BUCK,EMILY",1,free throw,good,oglethorpe,emily buck,1,512
17,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,17,08:17,,,,,"FOUL  by SCHAD,OLIVIA",,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,497
18,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,18,08:17,,,,,"TURNOVER  by SCHAD,OLIVIA",,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,497
19,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,19,08:01,"MISS 3PTR by BUCK,EMILY",,,,,,,"MISS 3PTR by BUCK,EMILY",1,three pointer,missed,oglethorpe,emily buck,,481
20,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,20,--,"REBOUND OFF by BROWN,ALEXANDRIA",,,,,,,"REBOUND OFF by BROWN,ALEXANDRIA",1,offensive rebound,,oglethorpe,alexandria brown,,
21,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,21,07:57,"GOOD LAYUP by BROWN,ALEXANDRIA(in the paint)",4 (+4),,0,,OUW 4-0 (-4),,"GOOD LAYUP by BROWN,ALEXANDRIA(in the paint)",1,layup,good,oglethorpe,alexandria brown,2,477
22,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,22,07:37,"FOUL  by FOLTZ,MADI",,,,,,,"FOUL  by FOLTZ,MADI",1,foul,,oglethorpe,madi foltz,,457
