,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,RCWBB13,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,15,--,,,,,"REBOUND OFF by ECKERT,CATHERINE",,,"REBOUND OFF by ECKERT,CATHERINE",1,offensive rebound,,rhodes,catherine eckert,,
16,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,16,17:34,,,,,"TURNOVER  by ECKERT,CATHERINE",,,"TURNOVER  by ECKERT,CATHERINE",1,turnover,,rhodes,catherine eckert,,1054
17,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,17,17:18,,,,,"FOUL  by WOMACK,SARAH",,,"FOUL  by WOMACK,SARAH",1,foul,,rhodes,sarah womack,,1038
18,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,18,17:18,"GOOD FT by BENHAM,CHELSEA",5,,8 (+3),,CENTREW 5-8 (-3),,"GOOD FT by BENHAM,CHELSEA",1,free throw,good,Centre,chelsea benham,1,1038
19,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,19,17:18,"GOOD FT by BENHAM,CHELSEA",6,,8 (+2),,CENTREW 6-8 (-2),,"GOOD FT by BENHAM,CHELSEA",1,free throw,good,Centre,chelsea benham,1,1038
20,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,20,17:03,,,,,"MISS LAYUP by AVANT,LAUREN",,,"MISS LAYUP by AVANT,LAUREN",1,layup,missed,rhodes,lauren avant,,1023
21,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,21,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
22,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,22,16:38,,,,,"FOUL  by ECKERT,CATHERINE",,,"FOUL  by ECKERT,CATHERINE",1,foul,,rhodes,catherine eckert,,998
23,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,23,16:38,"MISS FT by GUY,ALANNA",,,,,,,"MISS FT by GUY,ALANNA",1,free throw,missed,Centre,alanna guy,,998
24,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,24,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
25,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,25,16:38,"GOOD FT by GUY,ALANNA",7,,8 (+1),,CENTREW 7-8 (-1),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,998
26,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,26,16:38,,,,,"SUB IN by BARBER,MARY",,,"SUB IN by BARBER,MARY",1,subbing in,,rhodes,mary barber,,998
27,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,27,16:38,,,,,"SUB OUT by ECKERT,CATHERINE",,,"SUB OUT by ECKERT,CATHERINE",1,subbing out,,rhodes,catherine eckert,,998
