,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,1,19:47,,,,,"MISS 3PTR by KRIESEL-BIGLER,CAIT",,,"MISS 3PTR by KRIESEL-BIGLER,CAIT",1,three pointer,missed,hendrix,cait kriesel-bigler,,1187
2,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,2,--,,,,,"REBOUND OFF by TATE,JAMIE",,,"REBOUND OFF by TATE,JAMIE",1,offensive rebound,,hendrix,jamie tate,,
3,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,3,19:30,,0,,2 (+2),"GOOD LAYUP by GALLIEN,KATY(in the paint)",HC 0-2 (-2),,"GOOD LAYUP by GALLIEN,KATY(in the paint)",1,layup,good,hendrix,katy gallien,2,1170
4,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,4,19:13,"MISS JUMPER by BENHAM,CHELSEA",,,,,,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,1153
5,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,5,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
6,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,6,19:05,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1145
7,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,7,18:51,,0,,4 (+4),"GOOD JUMPER by BROBERG,KATI",HC 0-4 (-4),,"GOOD JUMPER by BROBERG,KATI",1,jumper,good,hendrix,kati broberg,2,1131
8,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,8,--,,,,,"ASSIST  by COUGHRAN,KATIE",,,"ASSIST  by COUGHRAN,KATIE",1,assist,,hendrix,katie coughran,,
9,23,hendrix,Centre,Hendrix,78-56,78,56,"38, 40, 78","30, 26, 56",38,40,78,30,26,56,"13-10, 11-2 SAA","3-21, 3-10 SAA",02/15/13,Win,180,No Location Recorded,6 p.m.,A,9,18:38,"MISS JUMPER by MIRE,JENNA",,,,,,,"MISS JUMPER by MIRE,JENNA",1,jumper,missed,Centre,jenna mire,,1118
