,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CALVINW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,17,17:56,,,,,"STEAL  by ENGELHARD,KAYLA",,,"STEAL  by ENGELHARD,KAYLA",1,steal,,calvin,,,1076
18,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,18,17:54,,2,,4 (+2),"GOOD LAYUP by ENGELHARD,KAYLA(fastbreak)(in the paint)",CALVINW 2-4 (-2),,"GOOD LAYUP by ENGELHARD,KAYLA(fastbreak)(in the paint)",1,layup,good,calvin,kayla(fastbreak) engelhard,2,1074
19,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,19,17:31,"MISS 3PTR by MIRE,JENNA",,,,,,,"MISS 3PTR by MIRE,JENNA",1,three pointer,missed,Centre,jenna mire,,1051
20,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,20,--,,,,,"REBOUND DEF by ENGELHARD,KAYLA",,,"REBOUND DEF by ENGELHARD,KAYLA",1,defensive rebound,,calvin,kayla engelhard,,
21,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,21,17:23,,,,,"MISS 3PTR by VERKAIK,CARISSA",,,"MISS 3PTR by VERKAIK,CARISSA",1,three pointer,missed,calvin,carissa verkaik,,1043
22,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,22,--,,,,,"REBOUND OFF by VERKAIK,BREANNA",,,"REBOUND OFF by VERKAIK,BREANNA",1,offensive rebound,,calvin,breanna verkaik,,
23,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,23,17:12,,,,,"TURNOVER  by WOLFFIS,ALLY",,,"TURNOVER  by WOLFFIS,ALLY",1,turnover,,calvin,ally wolffis,,1032
24,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,24,17:10,"STEAL  by BENHAM,CHELSEA",,,,,,,"STEAL  by BENHAM,CHELSEA",1,steal,,Centre,,,1030
25,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,25,17:05,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1025
26,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,26,--,,,,,"REBOUND DEF by WOLFFIS,ALLY",,,"REBOUND DEF by WOLFFIS,ALLY",1,defensive rebound,,calvin,ally wolffis,,
27,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,27,16:46,,,,,"MISS JUMPER by VERKAIK,CARISSA",,,"MISS JUMPER by VERKAIK,CARISSA",1,jumper,missed,calvin,carissa verkaik,,1006
28,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,28,--,"REBOUND DEF by MIRE,JENNA",,,,,,,"REBOUND DEF by MIRE,JENNA",1,defensive rebound,,Centre,jenna mire,,
29,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,29,16:30,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",4,,4,,CENTRE_W 4-4 (0),,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",1,layup,good,Centre,chelsea benham,2,990
30,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,30,--,"ASSIST  by WINSTEAD,BRIDGET",,,,,,,"ASSIST  by WINSTEAD,BRIDGET",1,assist,,Centre,bridget winstead,,
