,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,17,17:33,,5,,6 (+1),"GOOD LAYUP by WILL,REBEKAH(fastbreak)(in the paint)",CAPW 5-6 (-1),,"GOOD LAYUP by WILL,REBEKAH(fastbreak)(in the paint)",1,layup,good,capital,rebekah(fastbreak) will,2,1053
18,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,18,--,,,,,"ASSIST  by TIMMERMAN,STACY",,,"ASSIST  by TIMMERMAN,STACY",1,assist,,capital,stacy timmerman,,
19,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,19,17:33,"FOUL  by HARTLAGE,MAGGIE",,,,,,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,1053
20,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,20,17:33,,5,,7 (+2),"GOOD FT by WILL,REBEKAH",CAPW 5-7 (-2),,"GOOD FT by WILL,REBEKAH",1,free throw,good,capital,rebekah will,1,1053
21,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,21,17:33,"SUB IN by GUY,ALANNA",,,,,,,"SUB IN by GUY,ALANNA",1,subbing in,,Centre,alanna guy,,1053
22,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,22,17:33,"SUB OUT by MIRE,JENNA",,,,,,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,1053
23,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,23,17:21,"GOOD JUMPER by BENHAM,CHELSEA",7,,7,,CENTRE_W 7-7 (0),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,1041
24,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,24,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
25,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,25,17:06,,,,,"TURNOVER  by TIMMERMAN,STACY",,,"TURNOVER  by TIMMERMAN,STACY",1,turnover,,capital,stacy timmerman,,1026
26,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,26,17:04,"STEAL  by BAECHLE,PAIGE",,,,,,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,1024
