,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,1,19:51,"TURNOVER  by LAWRENCE,ALLISON",,,,,,,"TURNOVER  by LAWRENCE,ALLISON",1,turnover,,berry college,allison lawrence,,1191
2,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,2,19:49,,,,,"STEAL  by BAECHLE,PAIGE",,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,1189
3,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,3,19:43,,,,,"TURNOVER  by MIRE,JENNA",,,"TURNOVER  by MIRE,JENNA",1,turnover,,Centre,jenna mire,,1183
4,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,4,19:35,"GOOD LAYUP by MULLINAX,TARA(in the paint)",2 (+2),,0,,BCW 2-0 (-2),,"GOOD LAYUP by MULLINAX,TARA(in the paint)",1,layup,good,berry college,tara mullinax,2,1175
5,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,5,19:18,,2,,3 (+1),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 2-3 (+1),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1158
6,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,6,--,,,,,"ASSIST  by MIRE,JENNA",,,"ASSIST  by MIRE,JENNA",1,assist,,Centre,jenna mire,,
7,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,7,18:56,"GOOD LAYUP by LAWRENCE,ALLISON(in the paint)",4 (+1),,3,,BCW 4-3 (-1),,"GOOD LAYUP by LAWRENCE,ALLISON(in the paint)",1,layup,good,berry college,allison lawrence,2,1136
8,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,8,--,"ASSIST  by MCLEAN,MEL",,,,,,,"ASSIST  by MCLEAN,MEL",1,assist,,berry college,mel mclean,,
9,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,9,18:44,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1124
10,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,10,--,"REBOUND DEF by LAWRENCE,ALLISON",,,,,,,"REBOUND DEF by LAWRENCE,ALLISON",1,defensive rebound,,berry college,allison lawrence,,
11,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,11,18:25,,,,,"FOUL  by HARTLAGE,MAGGIE",,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,1105
12,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,12,18:18,"MISS JUMPER by LAWRENCE,ALLISON",,,,,,,"MISS JUMPER by LAWRENCE,ALLISON",1,jumper,missed,berry college,allison lawrence,,1098
13,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,13,--,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
14,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,14,18:06,,4,,5 (+1),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 4-5 (+1),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1086
15,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,15,17:54,"MISS 3PTR by EVANS,ALEXA",,,,,,,"MISS 3PTR by EVANS,ALEXA",1,three pointer,missed,berry college,alexa evans,,1074
16,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,16,--,,,,,"REBOUND DEF by WINSTEAD,BRIDGET",,,"REBOUND DEF by WINSTEAD,BRIDGET",1,defensive rebound,,Centre,bridget winstead,,
17,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,17,17:44,,,,,"TURNOVER  by MIRE,JENNA",,,"TURNOVER  by MIRE,JENNA",1,turnover,,Centre,jenna mire,,1064
18,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,18,17:41,"STEAL  by EVANS,ALEXA",,,,,,,"STEAL  by EVANS,ALEXA",1,steal,,berry college,,,1061
19,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,19,17:39,,,,,"SUB IN by WINSTEAD,MARY",,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,1059
20,16,berry,Berry College,Centre College,78-54,78,54,"47, 31, 78","28, 26, 54",47,31,78,28,26,54,"7-9, 5-1 SAA","9-7, 4-2 SAA",01/20/13,Win,238,No Location Recorded,1:00 PM,H,20,17:39,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,1059
