,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,1,19:50,"GOOD 3PTR by BURNETT,LAUREN",3 (+3),,0,,MVCW 3-0 (-3),,"GOOD 3PTR by BURNETT,LAUREN",1,three pointer,good,maryville college,lauren burnett,3,1190
2,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,2,--,"ASSIST  by PAYNE,KIERA",,,,,,,"ASSIST  by PAYNE,KIERA",1,assist,,maryville college,kiera payne,,
3,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,3,19:25,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1165
4,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,4,--,"REBOUND DEF by PAYNE,KIERA",,,,,,,"REBOUND DEF by PAYNE,KIERA",1,defensive rebound,,maryville college,kiera payne,,
5,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,5,19:12,"GOOD JUMPER by SMITH,TAYLER",5 (+5),,0,,MVCW 5-0 (-5),,"GOOD JUMPER by SMITH,TAYLER",1,jumper,good,maryville college,tayler smith,2,1152
6,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,6,--,"ASSIST  by MENARD,JANELL",,,,,,,"ASSIST  by MENARD,JANELL",1,assist,,maryville college,janell menard,,
7,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,7,18:48,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1128
8,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,8,18:45,"STEAL  by BURNETT,LAUREN",,,,,,,"STEAL  by BURNETT,LAUREN",1,steal,,maryville college,,,1125
9,1,maryville-tenn-,Maryville College,Centre College,63-72,63,72,"34, 29, 63","39, 33, 72",34,29,63,39,33,72,0-1,1-0,11/16/12,Lose,186,No Location Recorded,7:00 p.m.,H,9,18:43,"GOOD LAYUP by MENARD,JANELL(in the paint)",7 (+7),,0,,MVCW 7-0 (-7),,"GOOD LAYUP by MENARD,JANELL(in the paint)",1,layup,good,maryville college,janell menard,2,1123
