,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,17,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
18,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,18,17:28,,,,,"MISS LAYUP by BURGOYNE,JENNY",,,"MISS LAYUP by BURGOYNE,JENNY",1,layup,missed,thomas more,jenny burgoyne,,1048
19,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,19,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
20,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,20,17:10,"TURNOVER  by GUY,ALANNA",,,,,,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,1030
21,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,21,17:10,,,,,"STEAL  by BRUNSMAN,JILL",,,"STEAL  by BRUNSMAN,JILL",1,steal,,thomas more,,,1030
22,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,22,17:10,"FOUL  by GUY,ALANNA",,,,,,,"FOUL  by GUY,ALANNA",1,foul,,Centre,alanna guy,,1030
23,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,23,17:10,"SUB IN by STOUGH,MARY",,,,,,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,1030
24,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,24,17:10,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,1030
25,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,25,16:46,,,,,"MISS LAYUP by GAINES,NAKHARRA",,,"MISS LAYUP by GAINES,NAKHARRA",1,layup,missed,thomas more,nakharra gaines,,1006
26,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,26,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
