Shot Clock,Shot Percentage
0,0.3148148148148149
1,0.4018518518518518
2,0.25
3,0.1969135802469136
4,0.3220458553791887
5,0.38791887125220464
6,0.3070987654320988
7,0.35044091710758385
8,0.3761904761904762
9,0.33633156966490296
10,0.30599647266313934
11,0.39783950617283953
12,0.25537918871252213
13,0.28172537339204
14,0.34002057613168724
15,0.3394179894179895
16,0.308994708994709
17,0.3318342151675485
18,0.29850088183421514
19,0.3715167548500882
20,0.3565696649029983
21,0.31957671957671957
22,0.3409465020576132
23,0.3668871252204585
24,0.4266754850088184
25,0.4080246913580247
26,0.3451499118165785
27,0.39814814814814814
28,0.3898148148148149
29,0.32962962962962955
30,0.6376232136772193
