Play Type,Shot Outcome,Shot Clock,Team,Time(seconds)
layup,good,17.0,Centre,268.0
layup,good,16.0,birmingham-southern,254.0
layup,good,2.0,Centre,196.0
three pointer,missed,18.0,birmingham-southern,184.0
layup,missed,8.0,Centre,155.0
layup,good,19.0,birmingham-southern,144.0
layup,good,27.0,birmingham-southern,111.0
layup,good,30.0,birmingham-southern,102.0
jumper,good,17.0,birmingham-southern,45.0
layup,good,30.0,Centre,30.0
jumper,missed,21.0,birmingham-southern,21.0
layup,good,20.0,bluffton university,590.0
jumper,good,10.0,bluffton university,543.0
layup,missed,9.0,Centre,522.0
jumper,missed,13.0,bluffton university,505.0
layup,missed,24.0,bluffton university,499.0
jumper,good,15.0,Centre,484.0
jumper,missed,12.0,bluffton university,466.0
layup,good,24.0,bluffton university,451.0
layup,missed,14.0,Centre,435.0
jumper,missed,8.0,Centre,373.0
layup,missed,24.0,Centre,367.0
jumper,missed,17.0,bluffton university,354.0
jumper,good,15.0,Centre,296.0
layup,good,11.0,bluffton university,277.0
layup,good,19.0,Centre,266.0
three pointer,missed,18.0,bluffton university,228.0
layup,missed,27.0,bluffton university,225.0
jumper,missed,15.0,bluffton university,210.0
jumper,good,22.0,Centre,194.0
layup,good,16.0,bluffton university,180.0
layup,good,15.0,bluffton university,157.0
layup,missed,11.0,Centre,138.0
jumper,missed,6.0,Centre,95.0
layup,missed,21.0,bluffton university,86.0
jumper,good,14.0,Centre,70.0
jumper,good,6.0,Centre,31.0
jumper,missed,21.0,bluffton university,21.0
jumper,missed,3.0,Centre,3.0
jumper,missed,581.0,bluffton university,582.0
jumper,missed,14.0,bluffton university,541.0
jumper,missed,2.0,Centre,511.0
jumper,missed,5.0,Centre,486.0
three pointer,missed,1.0,bluffton university,457.0
layup,missed,23.0,Centre,450.0
jumper,missed,22.0,bluffton university,442.0
jumper,missed,2.0,Centre,414.0
layup,good,16.0,bluffton university,400.0
jumper,missed,29.0,Centre,369.0
layup,missed,26.0,Centre,365.0
layup,missed,16.0,bluffton university,351.0
jumper,missed,10.0,Centre,331.0
layup,good,13.0,bluffton university,314.0
jumper,missed,10.0,Centre,294.0
layup,good,23.0,bluffton university,287.0
layup,missed,9.0,Centre,217.0
three pointer,missed,12.0,bluffton university,199.0
layup,missed,20.0,Centre,181.0
jumper,missed,19.0,bluffton university,170.0
three pointer,missed,19.0,Centre,159.0
three pointer,missed,19.0,bluffton university,148.0
jumper,good,17.0,bluffton university,104.0
jumper,missed,14.0,bluffton university,53.0
jumper,missed,571.0,Centre,583.0
jumper,missed,12.0,bluffton university,565.0
jumper,missed,14.0,Centre,549.0
layup,good,8.0,bluffton university,527.0
layup,good,20.0,bluffton university,498.0
jumper,missed,12.0,Centre,480.0
layup,missed,19.0,bluffton university,469.0
jumper,missed,18.0,Centre,457.0
jumper,missed,21.0,bluffton university,448.0
three pointer,good,10.0,Centre,428.0
jumper,good,26.0,bluffton university,356.0
jumper,missed,6.0,Centre,332.0
layup,missed,18.0,bluffton university,320.0
jumper,good,21.0,Centre,311.0
jumper,good,29.0,bluffton university,282.0
layup,good,10.0,Centre,262.0
jumper,good,22.0,Centre,230.0
three pointer,missed,12.0,Centre,188.0
jumper,missed,24.0,bluffton university,161.0
layup,missed,25.0,bluffton university,105.0
jumper,missed,6.0,Centre,52.0
layup,good,29.0,bluffton university,29.0
three pointer,missed,13.0,Centre,13.0
jumper,missed,540.0,Centre,586.0
jumper,missed,8.0,bluffton university,564.0
three pointer,missed,25.0,bluffton university,559.0
layup,good,27.0,bluffton university,550.0
jumper,missed,17.0,Centre,537.0
jumper,missed,4.0,bluffton university,462.0
layup,good,14.0,bluffton university,421.0
three pointer,missed,11.0,Centre,402.0
jumper,good,13.0,bluffton university,385.0
jumper,missed,4.0,Centre,359.0
three pointer,missed,15.0,Centre,308.0
jumper,missed,23.0,Centre,301.0
jumper,good,13.0,bluffton university,284.0
jumper,missed,15.0,bluffton university,250.0
three pointer,good,10.0,Centre,211.0
jumper,missed,13.0,bluffton university,194.0
jumper,missed,20.0,Centre,165.0
jumper,missed,9.0,bluffton university,141.0
jumper,missed,13.0,Centre,124.0
jumper,good,13.0,bluffton university,107.0
layup,good,27.0,Centre,69.0
jumper,missed,26.0,Centre,48.0
jumper,good,0.0,Centre,1170.0
jumper,missed,13.0,Centre,1136.0
layup,good,20.0,ferrum,1126.0
jumper,missed,8.0,Centre,1104.0
three pointer,missed,12.0,Centre,1071.0
jumper,missed,24.0,Centre,1065.0
jumper,good,6.0,ferrum,1041.0
three pointer,good,14.0,ferrum,1005.0
layup,missed,3.0,Centre,978.0
layup,missed,28.0,Centre,976.0
layup,missed,20.0,Centre,968.0
layup,missed,26.0,ferrum,961.0
layup,good,26.0,ferrum,957.0
jumper,missed,9.0,ferrum,918.0
jumper,missed,18.0,Centre,906.0
three pointer,missed,27.0,ferrum,903.0
jumper,missed,7.0,Centre,880.0
layup,good,24.0,Centre,874.0
layup,good,19.0,ferrum,863.0
jumper,missed,23.0,Centre,829.0
layup,good,19.0,Centre,818.0
jumper,missed,13.0,ferrum,801.0
jumper,good,6.0,Centre,772.0
jumper,missed,7.0,ferrum,749.0
three pointer,good,9.0,Centre,728.0
three pointer,missed,9.0,ferrum,707.0
jumper,good,27.0,ferrum,692.0
jumper,missed,6.0,Centre,668.0
layup,missed,28.0,ferrum,631.0
three pointer,good,22.0,Centre,607.0
jumper,missed,28.0,ferrum,575.0
jumper,good,4.0,Centre,549.0
layup,missed,8.0,ferrum,527.0
layup,good,27.0,ferrum,524.0
three pointer,missed,25.0,Centre,519.0
layup,good,25.0,Centre,514.0
three pointer,good,24.0,ferrum,499.0
layup,good,13.0,Centre,482.0
three pointer,missed,12.0,ferrum,464.0
jumper,good,7.0,ferrum,438.0
jumper,good,21.0,Centre,417.0
jumper,missed,4.0,ferrum,391.0
layup,good,30.0,ferrum,377.0
layup,good,30.0,Centre,377.0
three pointer,missed,27.0,ferrum,338.0
layup,missed,4.0,Centre,312.0
three pointer,missed,22.0,ferrum,304.0
layup,good,24.0,ferrum,298.0
layup,good,2.0,Centre,245.0
layup,good,16.0,ferrum,231.0
three pointer,missed,29.0,Centre,200.0
jumper,missed,16.0,Centre,160.0
layup,missed,14.0,ferrum,144.0
layup,missed,24.0,Centre,138.0
three pointer,good,12.0,Centre,119.0
three pointer,good,14.0,ferrum,67.0
three pointer,missed,8.0,Centre,45.0
three pointer,missed,2.0,Centre,2.0
jumper,missed,0.0,ferrum,0.0
layup,good,14.0,ferrum,1165.0
three pointer,missed,21.0,Centre,1156.0
jumper,missed,14.0,ferrum,1140.0
jumper,good,26.0,ferrum,1136.0
layup,good,9.0,Centre,1115.0
layup,good,28.0,ferrum,1091.0
three pointer,good,17.0,Centre,1078.0
three pointer,good,11.0,ferrum,1059.0
jumper,good,9.0,Centre,1038.0
layup,missed,18.0,ferrum,1026.0
three pointer,good,25.0,Centre,1021.0
layup,missed,1.0,ferrum,992.0
jumper,good,23.0,Centre,985.0
three pointer,good,13.0,ferrum,968.0
layup,good,27.0,ferrum,951.0
jumper,good,21.0,ferrum,919.0
layup,missed,18.0,Centre,907.0
layup,good,27.0,Centre,904.0
layup,good,18.0,ferrum,892.0
three pointer,missed,1.0,Centre,846.0
jumper,good,11.0,ferrum,827.0
three pointer,good,7.0,Centre,804.0
layup,missed,22.0,ferrum,796.0
layup,good,30.0,ferrum,796.0
three pointer,missed,30.0,Centre,796.0
layup,missed,30.0,ferrum,796.0
layup,good,12.0,Centre,775.0
layup,good,7.0,ferrum,752.0
jumper,missed,12.0,Centre,698.0
three pointer,missed,30.0,ferrum,698.0
layup,missed,13.0,Centre,681.0
layup,missed,22.0,ferrum,673.0
layup,missed,28.0,ferrum,671.0
three pointer,missed,14.0,ferrum,643.0
three pointer,good,22.0,Centre,635.0
jumper,good,24.0,ferrum,629.0
jumper,missed,6.0,Centre,605.0
layup,good,22.0,ferrum,597.0
jumper,good,-21.0,Centre,516.0
jumper,missed,8.0,ferrum,494.0
jumper,missed,12.0,Centre,434.0
jumper,good,15.0,ferrum,419.0
three pointer,good,18.0,Centre,407.0
three pointer,missed,8.0,Centre,375.0
three pointer,missed,10.0,ferrum,355.0
jumper,missed,8.0,Centre,333.0
layup,missed,23.0,Centre,326.0
layup,missed,19.0,ferrum,315.0
jumper,good,12.0,Centre,297.0
three pointer,missed,12.0,ferrum,279.0
layup,good,10.0,Centre,259.0
layup,good,18.0,ferrum,247.0
three pointer,missed,10.0,Centre,198.0
jumper,good,12.0,ferrum,180.0
jumper,missed,28.0,Centre,148.0
layup,good,27.0,Centre,145.0
layup,missed,18.0,ferrum,133.0
three pointer,missed,23.0,Centre,126.0
layup,good,27.0,ferrum,92.0
three pointer,missed,21.0,Centre,83.0
layup,missed,21.0,Centre,42.0
layup,good,30.0,Centre,42.0
three pointer,missed,25.0,Centre,36.0
three pointer,missed,4.0,ferrum,4.0
three pointer,missed,2.0,Centre,2.0
layup,missed,8.0,hood,578.0
jumper,missed,1.0,Centre,549.0
layup,good,27.0,Centre,528.0
layup,good,13.0,hood,511.0
jumper,missed,9.0,Centre,490.0
layup,good,28.0,Centre,488.0
jumper,good,17.0,Centre,456.0
jumper,good,4.0,hood,430.0
layup,missed,18.0,Centre,400.0
layup,missed,21.0,Centre,377.0
layup,good,28.0,Centre,375.0
layup,missed,22.0,hood,343.0
jumper,missed,25.0,Centre,338.0
layup,good,17.0,hood,291.0
jumper,missed,26.0,Centre,257.0
layup,missed,17.0,hood,244.0
layup,missed,20.0,hood,198.0
layup,missed,20.0,Centre,188.0
three pointer,good,26.0,Centre,168.0
jumper,good,12.0,hood,150.0
jumper,good,10.0,Centre,130.0
jumper,missed,11.0,hood,111.0
three pointer,missed,22.0,Centre,103.0
jumper,missed,11.0,Centre,84.0
jumper,missed,9.0,Centre,54.0
jumper,missed,27.0,Centre,31.0
jumper,missed,21.0,Centre,564.0
layup,good,23.0,Centre,533.0
three pointer,missed,13.0,hood,516.0
layup,missed,17.0,Centre,503.0
jumper,good,16.0,hood,489.0
layup,missed,4.0,Centre,463.0
jumper,missed,5.0,hood,437.0
layup,missed,26.0,hood,433.0
layup,good,24.0,Centre,427.0
layup,good,11.0,hood,408.0
three pointer,missed,7.0,Centre,385.0
three pointer,missed,2.0,Centre,341.0
three pointer,good,15.0,hood,326.0
three pointer,good,8.0,Centre,289.0
layup,good,28.0,Centre,273.0
three pointer,missed,19.0,hood,247.0
jumper,missed,20.0,hood,227.0
jumper,good,28.0,hood,225.0
jumper,missed,10.0,Centre,205.0
jumper,missed,4.0,Centre,170.0
layup,missed,28.0,Centre,168.0
three pointer,good,15.0,Centre,132.0
jumper,missed,14.0,hood,116.0
jumper,missed,17.0,Centre,103.0
jumper,good,14.0,Centre,100.0
layup,good,18.0,Centre,58.0
three pointer,missed,17.0,hood,45.0
layup,good,29.0,Centre,29.0
three pointer,missed,12.0,hood,12.0
three pointer,missed,1.0,Centre,1.0
layup,missed,574.0,hood,589.0
jumper,missed,24.0,Centre,583.0
three pointer,missed,17.0,Centre,536.0
layup,missed,2.0,hood,508.0
layup,missed,11.0,Centre,489.0
layup,missed,10.0,hood,467.0
jumper,good,9.0,Centre,446.0
jumper,good,19.0,hood,435.0
three pointer,missed,17.0,Centre,422.0
three pointer,missed,9.0,hood,401.0
three pointer,missed,19.0,Centre,390.0
jumper,missed,10.0,Centre,354.0
three pointer,good,7.0,Centre,351.0
jumper,missed,5.0,hood,326.0
three pointer,good,20.0,Centre,316.0
three pointer,missed,14.0,hood,300.0
three pointer,good,2.0,Centre,272.0
jumper,missed,13.0,Centre,230.0
layup,good,19.0,hood,219.0
jumper,good,20.0,Centre,191.0
layup,missed,6.0,hood,167.0
layup,good,11.0,hood,129.0
three pointer,missed,9.0,Centre,108.0
layup,missed,21.0,hood,99.0
layup,good,16.0,Centre,85.0
layup,good,21.0,Centre,57.0
layup,missed,11.0,hood,38.0
jumper,missed,7.0,Centre,7.0
jumper,missed,1.0,hood,1.0
jumper,missed,576.0,Centre,579.0
three pointer,missed,19.0,hood,568.0
three pointer,missed,24.0,hood,562.0
three pointer,missed,29.0,hood,555.0
layup,missed,21.0,hood,542.0
three pointer,missed,13.0,Centre,525.0
jumper,good,25.0,Centre,520.0
jumper,missed,13.0,Centre,489.0
layup,missed,16.0,hood,471.0
layup,good,18.0,Centre,459.0
layup,good,10.0,hood,439.0
jumper,missed,8.0,Centre,417.0
layup,missed,6.0,Centre,415.0
jumper,missed,4.0,Centre,377.0
jumper,missed,8.0,hood,355.0
three pointer,missed,25.0,Centre,335.0
jumper,missed,15.0,hood,320.0
jumper,missed,30.0,hood,284.0
layup,good,27.0,hood,281.0
three pointer,good,17.0,Centre,240.0
jumper,good,3.0,hood,213.0
jumper,missed,10.0,Centre,193.0
layup,good,25.0,hood,187.0
layup,good,24.0,Centre,181.0
layup,missed,14.0,hood,165.0
jumper,good,0.0,Centre,135.0
layup,missed,5.0,Centre,96.0
three pointer,missed,3.0,Centre,94.0
jumper,good,14.0,hood,78.0
three pointer,missed,19.0,hood,47.0
layup,missed,22.0,hood,39.0
three pointer,missed,24.0,Centre,24.0
layup,missed,14.0,hood,14.0
layup,missed,12.0,hood,12.0
jumper,good,6.0,Centre,576.0
layup,good,10.0,millsaps,556.0
jumper,good,17.0,millsaps,514.0
three pointer,good,3.0,Centre,459.0
jumper,good,10.0,millsaps,439.0
three pointer,missed,21.0,Centre,430.0
three pointer,missed,20.0,Centre,420.0
layup,good,26.0,Centre,416.0
jumper,missed,30.0,millsaps,399.0
three pointer,missed,23.0,Centre,392.0
jumper,missed,18.0,millsaps,338.0
three pointer,missed,13.0,millsaps,321.0
jumper,good,18.0,Centre,309.0
layup,missed,6.0,millsaps,285.0
jumper,missed,9.0,Centre,255.0
three pointer,missed,23.0,Centre,248.0
jumper,missed,9.0,millsaps,227.0
three pointer,missed,18.0,Centre,215.0
jumper,missed,23.0,Centre,208.0
jumper,good,7.0,millsaps,185.0
jumper,good,0.0,Centre,155.0
jumper,good,25.0,millsaps,109.0
jumper,missed,9.0,millsaps,73.0
jumper,missed,13.0,Centre,56.0
jumper,missed,25.0,Centre,51.0
jumper,missed,29.0,millsaps,29.0
three pointer,missed,8.0,Centre,8.0
layup,good,571.0,millsaps,592.0
jumper,missed,9.0,Centre,561.0
jumper,missed,6.0,Centre,521.0
three pointer,missed,14.0,millsaps,505.0
three pointer,good,13.0,Centre,488.0
three pointer,good,9.0,millsaps,467.0
three pointer,missed,11.0,Centre,448.0
layup,missed,23.0,millsaps,429.0
layup,good,30.0,millsaps,429.0
jumper,missed,18.0,Centre,417.0
layup,good,24.0,millsaps,396.0
jumper,missed,13.0,Centre,333.0
layup,good,21.0,millsaps,324.0
jumper,missed,17.0,millsaps,303.0
jumper,missed,18.0,Centre,291.0
jumper,good,13.0,millsaps,274.0
three pointer,missed,1.0,Centre,245.0
jumper,good,4.0,millsaps,219.0
layup,good,15.0,Centre,177.0
three pointer,good,19.0,Centre,147.0
three pointer,missed,5.0,millsaps,122.0
three pointer,missed,18.0,Centre,110.0
jumper,missed,3.0,millsaps,39.0
layup,good,10.0,millsaps,10.0
jumper,missed,0.0,Centre,0.0
jumper,missed,13.0,Centre,553.0
layup,missed,17.0,millsaps,540.0
layup,missed,26.0,millsaps,536.0
layup,missed,25.0,millsaps,531.0
layup,good,5.0,Centre,506.0
jumper,missed,5.0,millsaps,481.0
layup,good,20.0,millsaps,449.0
three pointer,good,11.0,Centre,430.0
three pointer,missed,9.0,millsaps,409.0
jumper,missed,23.0,millsaps,402.0
jumper,missed,27.0,millsaps,385.0
jumper,missed,14.0,Centre,369.0
three pointer,good,11.0,millsaps,350.0
jumper,missed,26.0,Centre,316.0
three pointer,missed,10.0,millsaps,296.0
layup,good,14.0,millsaps,280.0
three pointer,missed,2.0,Centre,221.0
jumper,missed,21.0,millsaps,212.0
jumper,good,20.0,Centre,202.0
jumper,good,20.0,millsaps,192.0
jumper,missed,30.0,millsaps,161.0
jumper,missed,30.0,Centre,161.0
three pointer,missed,26.0,Centre,92.0
three pointer,missed,6.0,Centre,50.0
layup,missed,19.0,millsaps,39.0
layup,good,25.0,millsaps,34.0
layup,good,12.0,millsaps,12.0
three pointer,missed,1.0,Centre,1.0
jumper,missed,572.0,Centre,576.0
layup,good,24.0,Centre,570.0
jumper,missed,3.0,millsaps,543.0
layup,missed,26.0,millsaps,539.0
layup,missed,26.0,Centre,509.0
jumper,missed,24.0,Centre,483.0
layup,missed,20.0,Centre,445.0
three pointer,missed,16.0,millsaps,431.0
jumper,missed,7.0,Centre,392.0
jumper,good,22.0,Centre,384.0
three pointer,missed,8.0,millsaps,362.0
jumper,good,10.0,Centre,342.0
jumper,missed,16.0,Centre,315.0
jumper,missed,13.0,Centre,288.0
jumper,good,18.0,millsaps,276.0
jumper,missed,9.0,Centre,255.0
three pointer,missed,11.0,millsaps,236.0
jumper,missed,9.0,Centre,215.0
layup,good,28.0,millsaps,206.0
jumper,missed,9.0,Centre,185.0
three pointer,missed,9.0,millsaps,128.0
three pointer,missed,16.0,Centre,114.0
jumper,good,7.0,Centre,77.0
three pointer,good,25.0,millsaps,25.0
jumper,missed,8.0,Centre,8.0
three pointer,missed,602.0,Centre,1172.0
jumper,missed,0.0,mississippi college,1142.0
three pointer,missed,13.0,Centre,1125.0
layup,good,13.0,mississippi college,1101.0
jumper,good,25.0,Centre,1066.0
three pointer,missed,21.0,mississippi college,1057.0
layup,missed,25.0,mississippi college,1052.0
layup,good,27.0,mississippi college,1049.0
three pointer,good,12.0,Centre,1031.0
jumper,missed,9.0,mississippi college,1010.0
three pointer,missed,15.0,Centre,995.0
jumper,good,25.0,Centre,990.0
layup,good,12.0,mississippi college,946.0
three pointer,good,3.0,Centre,919.0
jumper,good,13.0,mississippi college,902.0
three pointer,missed,21.0,Centre,893.0
three pointer,good,4.0,mississippi college,867.0
jumper,good,27.0,Centre,834.0
layup,missed,3.0,mississippi college,774.0
jumper,missed,9.0,mississippi college,730.0
jumper,missed,25.0,Centre,725.0
layup,missed,25.0,Centre,693.0
layup,missed,20.0,Centre,673.0
jumper,missed,15.0,mississippi college,658.0
jumper,missed,9.0,mississippi college,620.0
layup,good,25.0,mississippi college,615.0
jumper,good,19.0,Centre,604.0
jumper,missed,6.0,Centre,550.0
layup,good,27.0,Centre,547.0
layup,missed,12.0,mississippi college,529.0
jumper,missed,21.0,mississippi college,520.0
jumper,missed,5.0,Centre,482.0
jumper,good,3.0,Centre,424.0
jumper,good,7.0,mississippi college,401.0
three pointer,missed,7.0,Centre,378.0
jumper,good,10.0,Centre,333.0
jumper,missed,22.0,mississippi college,295.0
jumper,good,24.0,Centre,289.0
three pointer,good,18.0,Centre,258.0
layup,good,27.0,Centre,224.0
three pointer,missed,5.0,mississippi college,199.0
three pointer,missed,17.0,Centre,186.0
layup,missed,9.0,mississippi college,163.0
three pointer,good,12.0,Centre,145.0
jumper,missed,9.0,mississippi college,124.0
three pointer,missed,22.0,mississippi college,116.0
jumper,missed,27.0,mississippi college,82.0
jumper,missed,28.0,mississippi college,80.0
jumper,missed,12.0,mississippi college,62.0
jumper,missed,28.0,Centre,43.0
three pointer,missed,1.0,Centre,1.0
three pointer,good,1168.0,mississippi college,1181.0
layup,good,3.0,Centre,1154.0
jumper,missed,29.0,mississippi college,1123.0
layup,good,15.0,mississippi college,1100.0
three pointer,missed,11.0,Centre,1081.0
jumper,missed,14.0,Centre,1065.0
layup,missed,17.0,mississippi college,1052.0
layup,missed,27.0,mississippi college,1049.0
layup,good,27.0,mississippi college,1046.0
jumper,missed,23.0,Centre,1039.0
three pointer,good,14.0,mississippi college,1023.0
three pointer,good,0.0,Centre,993.0
jumper,good,30.0,Centre,944.0
jumper,missed,0.0,Centre,841.0
three pointer,missed,18.0,mississippi college,829.0
three pointer,missed,18.0,Centre,817.0
three pointer,good,6.0,mississippi college,788.0
jumper,good,13.0,mississippi college,749.0
three pointer,good,15.0,Centre,734.0
jumper,missed,4.0,mississippi college,708.0
layup,good,4.0,Centre,611.0
three pointer,missed,4.0,Centre,585.0
three pointer,missed,11.0,mississippi college,566.0
three pointer,good,21.0,Centre,557.0
layup,good,26.0,Centre,516.0
jumper,missed,11.0,mississippi college,497.0
jumper,good,10.0,mississippi college,477.0
three pointer,good,24.0,mississippi college,440.0
jumper,good,1.0,Centre,411.0
jumper,missed,15.0,mississippi college,396.0
layup,good,23.0,Centre,389.0
jumper,missed,14.0,mississippi college,373.0
layup,missed,28.0,mississippi college,371.0
three pointer,missed,13.0,Centre,354.0
layup,good,25.0,Centre,319.0
three pointer,missed,12.0,mississippi college,301.0
jumper,missed,14.0,Centre,281.0
three pointer,good,7.0,mississippi college,258.0
layup,good,13.0,Centre,241.0
layup,missed,25.0,Centre,205.0
layup,missed,24.0,Centre,170.0
jumper,good,25.0,mississippi college,165.0
three pointer,missed,19.0,Centre,154.0
jumper,good,20.0,mississippi college,144.0
jumper,missed,1.0,Centre,115.0
jumper,missed,3.0,mississippi college,88.0
layup,good,7.0,Centre,38.0
layup,good,17.0,mississippi college,17.0
three pointer,missed,15.0,mississippi college,15.0
three pointer,missed,2.0,Centre,551.0
three pointer,missed,14.0,Centre,524.0
layup,good,21.0,Centre,515.0
layup,good,19.0,mt. st. joseph,504.0
three pointer,missed,24.0,Centre,461.0
three pointer,good,24.0,Centre,455.0
layup,missed,14.0,mt. st. joseph,439.0
jumper,good,26.0,mt. st. joseph,435.0
layup,missed,15.0,Centre,420.0
three pointer,good,17.0,mt. st. joseph,407.0
layup,good,10.0,Centre,387.0
three pointer,good,19.0,Centre,351.0
jumper,missed,14.0,mt. st. joseph,335.0
layup,good,15.0,Centre,313.0
layup,missed,13.0,mt. st. joseph,296.0
three pointer,missed,7.0,Centre,273.0
three pointer,good,7.0,mt. st. joseph,250.0
layup,missed,7.0,Centre,227.0
jumper,good,24.0,mt. st. joseph,180.0
jumper,missed,16.0,Centre,119.0
jumper,good,28.0,Centre,111.0
three pointer,good,13.0,mt. st. joseph,94.0
layup,missed,10.0,Centre,46.0
three pointer,missed,17.0,Centre,33.0
jumper,missed,4.0,mt. st. joseph,4.0
layup,good,20.0,Centre,576.0
layup,good,19.0,Centre,557.0
layup,good,11.0,mt. st. joseph,508.0
three pointer,good,16.0,mt. st. joseph,471.0
layup,good,29.0,mt. st. joseph,449.0
three pointer,missed,17.0,mt. st. joseph,404.0
layup,missed,28.0,mt. st. joseph,387.0
three pointer,good,18.0,mt. st. joseph,373.0
three pointer,missed,8.0,Centre,351.0
jumper,missed,24.0,mt. st. joseph,274.0
three pointer,good,25.0,mt. st. joseph,269.0
jumper,missed,6.0,Centre,245.0
layup,good,13.0,mt. st. joseph,228.0
layup,good,13.0,Centre,211.0
layup,missed,18.0,mt. st. joseph,199.0
jumper,good,11.0,Centre,130.0
jumper,missed,13.0,mt. st. joseph,113.0
three pointer,missed,24.0,mt. st. joseph,93.0
layup,good,20.0,Centre,62.0
three pointer,missed,8.0,mt. st. joseph,40.0
layup,good,22.0,Centre,22.0
layup,good,17.0,mt. st. joseph,582.0
layup,good,10.0,Centre,562.0
three pointer,missed,12.0,Centre,529.0
layup,missed,13.0,mt. st. joseph,512.0
three pointer,missed,0.0,Centre,482.0
three pointer,missed,14.0,mt. st. joseph,466.0
layup,missed,26.0,mt. st. joseph,462.0
jumper,missed,2.0,Centre,434.0
layup,good,15.0,Centre,413.0
three pointer,missed,13.0,mt. st. joseph,396.0
three pointer,missed,13.0,mt. st. joseph,362.0
layup,good,28.0,mt. st. joseph,281.0
layup,missed,7.0,Centre,258.0
layup,good,18.0,mt. st. joseph,246.0
three pointer,missed,0.0,mt. st. joseph,195.0
three pointer,missed,29.0,Centre,161.0
three pointer,good,21.0,Centre,152.0
layup,good,9.0,mt. st. joseph,131.0
three pointer,missed,30.0,Centre,125.0
three pointer,missed,23.0,mt. st. joseph,118.0
layup,missed,14.0,mt. st. joseph,102.0
three pointer,missed,12.0,mt. st. joseph,67.0
three pointer,good,4.0,Centre,41.0
layup,missed,12.0,mt. st. joseph,12.0
jumper,missed,2.0,Centre,2.0
layup,good,2.0,mt. st. joseph,561.0
three pointer,missed,13.0,Centre,544.0
layup,good,9.0,mt. st. joseph,513.0
layup,missed,27.0,Centre,485.0
layup,good,20.0,Centre,458.0
three pointer,good,28.0,mt. st. joseph,426.0
three pointer,missed,9.0,Centre,405.0
three pointer,good,6.0,mt. st. joseph,376.0
layup,missed,5.0,Centre,351.0
layup,missed,13.0,mt. st. joseph,310.0
three pointer,missed,13.0,Centre,293.0
layup,missed,30.0,mt. st. joseph,246.0
layup,good,26.0,mt. st. joseph,207.0
three pointer,missed,15.0,Centre,192.0
layup,good,24.0,mt. st. joseph,186.0
jumper,missed,10.0,Centre,166.0
jumper,missed,4.0,mt. st. joseph,140.0
layup,good,30.0,mt. st. joseph,116.0
jumper,good,22.0,mt. st. joseph,93.0
jumper,missed,1.0,Centre,571.0
three pointer,missed,5.0,Centre,546.0
jumper,missed,20.0,salem,536.0
jumper,missed,23.0,salem,529.0
three pointer,missed,10.0,Centre,509.0
jumper,good,21.0,Centre,500.0
jumper,missed,7.0,salem,477.0
jumper,good,12.0,Centre,459.0
jumper,missed,14.0,salem,443.0
layup,missed,25.0,salem,438.0
jumper,missed,27.0,Centre,430.0
jumper,good,24.0,salem,424.0
three pointer,good,6.0,Centre,400.0
jumper,missed,6.0,salem,376.0
jumper,missed,27.0,salem,373.0
three pointer,good,13.0,Centre,356.0
jumper,missed,7.0,salem,333.0
three pointer,missed,22.0,Centre,325.0
layup,good,26.0,Centre,321.0
layup,good,2.0,salem,293.0
layup,good,9.0,Centre,272.0
layup,good,7.0,salem,249.0
layup,missed,7.0,Centre,226.0
three pointer,missed,27.0,salem,201.0
jumper,good,29.0,Centre,164.0
layup,good,23.0,salem,157.0
three pointer,missed,6.0,Centre,133.0
jumper,missed,16.0,salem,119.0
layup,good,9.0,Centre,98.0
layup,good,12.0,salem,80.0
three pointer,missed,14.0,Centre,64.0
jumper,missed,16.0,salem,50.0
jumper,good,26.0,Centre,26.0
jumper,missed,9.0,salem,9.0
three pointer,missed,1.0,Centre,1.0
jumper,missed,575.0,Centre,595.0
layup,missed,21.0,salem,586.0
three pointer,missed,23.0,Centre,579.0
layup,good,24.0,Centre,573.0
three pointer,missed,14.0,salem,557.0
layup,good,25.0,salem,552.0
jumper,good,8.0,Centre,530.0
jumper,missed,11.0,salem,511.0
layup,good,26.0,salem,507.0
jumper,missed,6.0,Centre,483.0
three pointer,missed,21.0,salem,474.0
jumper,missed,22.0,Centre,466.0
layup,missed,19.0,salem,455.0
jumper,good,21.0,Centre,446.0
layup,missed,3.0,salem,419.0
three pointer,missed,18.0,Centre,370.0
jumper,good,10.0,salem,350.0
jumper,missed,13.0,salem,312.0
jumper,missed,19.0,salem,271.0
three pointer,missed,18.0,Centre,259.0
layup,missed,19.0,salem,248.0
layup,missed,25.0,salem,233.0
jumper,missed,21.0,Centre,224.0
layup,missed,27.0,Centre,221.0
three pointer,good,27.0,Centre,221.0
jumper,missed,21.0,Centre,184.0
layup,missed,20.0,salem,174.0
layup,missed,27.0,salem,171.0
jumper,missed,20.0,Centre,161.0
three pointer,good,24.0,Centre,155.0
layup,good,19.0,salem,144.0
jumper,good,12.0,Centre,126.0
jumper,missed,9.0,salem,105.0
jumper,missed,22.0,Centre,97.0
jumper,missed,12.0,salem,79.0
jumper,good,14.0,Centre,63.0
layup,missed,6.0,salem,39.0
layup,good,26.0,salem,35.0
jumper,good,22.0,Centre,22.0
jumper,missed,5.0,salem,5.0
layup,missed,0.0,Centre,0.0
jumper,missed,23.0,Centre,593.0
jumper,good,11.0,salem,574.0
jumper,good,13.0,Centre,557.0
