,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,16,17:08,,,,,"MISS JUMPER by JOHNSON,SARAH",,,"MISS JUMPER by JOHNSON,SARAH",1,jumper,missed,rhodes,sarah johnson,,1028
17,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,17,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
18,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,18,16:48,"TURNOVER  by HARTLAGE,MAGGIE",,,,,,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1008
19,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,19,16:47,,,,,"STEAL  by DANIELS,SYMONE",,,"STEAL  by DANIELS,SYMONE",1,steal,,rhodes,,,1007
20,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,20,16:44,,0,,6 (+6),"GOOD LAYUP by DANIELS,SYMONE(fastbreak)(in the paint)",RHODES 0-6 (-6),,"GOOD LAYUP by DANIELS,SYMONE(fastbreak)(in the paint)",1,layup,good,rhodes,symone(fastbreak) daniels,2,1004
21,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,21,16:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1002
22,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,22,16:29,,,,,"FOUL  by TODMAN,DY'NELLE",,,"FOUL  by TODMAN,DY'NELLE",1,foul,,rhodes,dy'nelle todman,,989
23,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,23,16:29,"GOOD FT by COLLIVER,OLIVIA",1,,6 (+5),,CENTRE_W 1-6 (-5),,"GOOD FT by COLLIVER,OLIVIA",1,free throw,good,Centre,olivia colliver,1,989
24,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,24,16:29,"GOOD FT by COLLIVER,OLIVIA",2,,6 (+4),,CENTRE_W 2-6 (-4),,"GOOD FT by COLLIVER,OLIVIA",1,free throw,good,Centre,olivia colliver,1,989
25,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,25,16:06,,2,,9 (+7),"GOOD 3PTR by JOHNSON,SARAH",RHODES 2-9 (-7),,"GOOD 3PTR by JOHNSON,SARAH",1,three pointer,good,rhodes,sarah johnson,3,966
