,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,MVCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,16,17:44,,,,,"BLOCK  by BALLARD,JORDAN",,,"BLOCK  by BALLARD,JORDAN",1,block,,maryville college women,jordan ballard,,1064
17,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,17,--,,,,,"REBOUND DEF by BOND,ALEX",,,"REBOUND DEF by BOND,ALEX",1,defensive rebound,,maryville college women,alex bond,,
18,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,18,17:38,,,,,"TURNOVER  by YOUNG,JOANNA",,,"TURNOVER  by YOUNG,JOANNA",1,turnover,,maryville college women,joanna young,,1058
19,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,19,17:28,"MISS JUMPER by GUY,ALANNA",,,,,,,"MISS JUMPER by GUY,ALANNA",1,jumper,missed,Centre,alanna guy,,1048
20,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,20,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
21,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,21,17:06,,2,,4 (+2),"GOOD JUMPER by BOND,ALEX",MVCW 2-4 (-2),,"GOOD JUMPER by BOND,ALEX",1,jumper,good,maryville college women,alex bond,2,1026
22,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,22,16:40,"MISS JUMPER by JUDY,MICHELE",,,,,,,"MISS JUMPER by JUDY,MICHELE",1,jumper,missed,Centre,michele judy,,1000
23,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,23,--,,,,,"REBOUND DEF by PUCKETT,MACKENZIE",,,"REBOUND DEF by PUCKETT,MACKENZIE",1,defensive rebound,,maryville college women,mackenzie puckett,,
24,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,24,16:21,,,,,"MISS JUMPER by BOND,ALEX",,,"MISS JUMPER by BOND,ALEX",1,jumper,missed,maryville college women,alex bond,,981
25,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,25,--,,,,,"REBOUND OFF by PUCKETT,MACKENZIE",,,"REBOUND OFF by PUCKETT,MACKENZIE",1,offensive rebound,,maryville college women,mackenzie puckett,,
26,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,26,16:14,,,,,"MISS JUMPER by YOUNG,JOANNA",,,"MISS JUMPER by YOUNG,JOANNA",1,jumper,missed,maryville college women,joanna young,,974
27,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,27,--,,,,,"REBOUND OFF by HAWN,RACHEL",,,"REBOUND OFF by HAWN,RACHEL",1,offensive rebound,,maryville college women,rachel hawn,,
