,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,1,19:41,"MISS JUMPER by KENNEBREW,KRISTEN",,,,,,,"MISS JUMPER by KENNEBREW,KRISTEN",1,jumper,missed,oglethorpe,kristen kennebrew,,1181
2,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,2,--,"REBOUND OFF by ATWATER,AISHA",,,,,,,"REBOUND OFF by ATWATER,AISHA",1,offensive rebound,,oglethorpe,aisha atwater,,
3,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,3,19:34,"TURNOVER  by ATWATER,AISHA",,,,,,,"TURNOVER  by ATWATER,AISHA",1,turnover,,oglethorpe,aisha atwater,,1174
4,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,4,19:32,,,,,"STEAL  by KELLAM,PAIGE",,,"STEAL  by KELLAM,PAIGE",1,steal,,Centre,,,1172
5,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,5,19:28,,,,,"MISS 3PTR by RHULE,BONNIE",,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,1168
6,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,6,--,"REBOUND DEF by HUGHES,CIAIRA",,,,,,,"REBOUND DEF by HUGHES,CIAIRA",1,defensive rebound,,oglethorpe,ciaira hughes,,
7,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,7,19:07,"MISS JUMPER by ATWATER,AISHA",,,,,,,"MISS JUMPER by ATWATER,AISHA",1,jumper,missed,oglethorpe,aisha atwater,,1147
8,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,8,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
9,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,9,18:37,,,,,"MISS LAYUP by COLLIVER,OLIVIA",,,"MISS LAYUP by COLLIVER,OLIVIA",1,layup,missed,Centre,olivia colliver,,1117
10,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,10,18:37,"BLOCK  by ATWATER,AISHA",,,,,,,"BLOCK  by ATWATER,AISHA",1,block,,oglethorpe,aisha atwater,,1117
11,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,11,--,"REBOUND DEF by CARROLL,DANNELLE",,,,,,,"REBOUND DEF by CARROLL,DANNELLE",1,defensive rebound,,oglethorpe,dannelle carroll,,
12,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,12,18:25,"MISS 3PTR by ATWATER,AISHA",,,,,,,"MISS 3PTR by ATWATER,AISHA",1,three pointer,missed,oglethorpe,aisha atwater,,1105
13,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,13,--,"REBOUND OFF by HUGHES,CIAIRA",,,,,,,"REBOUND OFF by HUGHES,CIAIRA",1,offensive rebound,,oglethorpe,ciaira hughes,,
14,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,14,18:17,"MISS 3PTR by KENNEBREW,KRISTEN",,,,,,,"MISS 3PTR by KENNEBREW,KRISTEN",1,three pointer,missed,oglethorpe,kristen kennebrew,,1097
15,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,15,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
16,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,16,17:57,,0,,2 (+2),"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",CENTRE_W 0-2 (+2),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,1077
17,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,17,17:55,"FOUL  by KENNEBREW,KRISTEN",,,,,,,"FOUL  by KENNEBREW,KRISTEN",1,foul,,oglethorpe,kristen kennebrew,,1075
18,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,18,17:55,,0,,3 (+3),"GOOD FT by HARTLAGE,MAGGIE",CENTRE_W 0-3 (+3),,"GOOD FT by HARTLAGE,MAGGIE",1,free throw,good,Centre,maggie hartlage,1,1075
19,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,19,17:43,"TURNOVER  by KENNEBREW,KRISTEN",,,,,,,"TURNOVER  by KENNEBREW,KRISTEN",1,turnover,,oglethorpe,kristen kennebrew,,1063
20,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,20,17:19,,0,,5 (+5),"GOOD JUMPER by HARTLAGE,MAGGIE",CENTRE_W 0-5 (+5),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,1039
21,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,21,17:05,"MISS JUMPER by ATWATER,AISHA",,,,,,,"MISS JUMPER by ATWATER,AISHA",1,jumper,missed,oglethorpe,aisha atwater,,1025
22,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,22,--,"REBOUND OFF by ATWATER,AISHA",,,,,,,"REBOUND OFF by ATWATER,AISHA",1,offensive rebound,,oglethorpe,aisha atwater,,
23,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,23,16:51,"GOOD JUMPER by BUCK,EMILY",2,,5 (+3),,OUW 2-5 (+3),,"GOOD JUMPER by BUCK,EMILY",1,jumper,good,oglethorpe,emily buck,2,1011
24,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,24,16:38,,,,,"MISS LAYUP by GUY,ALEXIS",,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,998
25,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,25,--,"REBOUND DEF by HUGHES,CIAIRA",,,,,,,"REBOUND DEF by HUGHES,CIAIRA",1,defensive rebound,,oglethorpe,ciaira hughes,,
26,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,26,16:32,"GOOD JUMPER by CARROLL,DANNELLE",4,,5 (+1),,OUW 4-5 (+1),,"GOOD JUMPER by CARROLL,DANNELLE",1,jumper,good,oglethorpe,dannelle carroll,2,992
27,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,27,16:09,"FOUL  by ATWATER,AISHA",,,,,,,"FOUL  by ATWATER,AISHA",1,foul,,oglethorpe,aisha atwater,,969
28,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,28,16:09,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,969
29,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,29,16:09,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,969
30,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,30,16:09,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,969
31,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,31,16:09,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,969
32,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,32,16:09,,,,,"SUB OUT by COLLIVER,OLIVIA",,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,969
33,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,33,16:09,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,969
34,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,34,15:58,"FOUL  by BUCK,EMILY",,,,,,,"FOUL  by BUCK,EMILY",1,foul,,oglethorpe,emily buck,,958
35,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,35,15:58,,4,,6 (+2),"GOOD FT by HARTLAGE,MAGGIE",CENTRE_W 4-6 (+2),,"GOOD FT by HARTLAGE,MAGGIE",1,free throw,good,Centre,maggie hartlage,1,958
36,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,36,15:58,,4,,7 (+3),"GOOD FT by HARTLAGE,MAGGIE",CENTRE_W 4-7 (+3),,"GOOD FT by HARTLAGE,MAGGIE",1,free throw,good,Centre,maggie hartlage,1,958
37,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,37,15:51,"GOOD JUMPER by HUGHES,CIAIRA",6,,7 (+1),,OUW 6-7 (+1),,"GOOD JUMPER by HUGHES,CIAIRA",1,jumper,good,oglethorpe,ciaira hughes,2,951
38,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,38,15:22,,,,,"TURNOVER  by JUDY,MICHELE",,,"TURNOVER  by JUDY,MICHELE",1,turnover,,Centre,michele judy,,922
39,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,39,15:19,"STEAL  by BUCK,EMILY",,,,,,,"STEAL  by BUCK,EMILY",1,steal,,oglethorpe,,,919
40,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,40,15:16,"MISS 3PTR by KENNEBREW,KRISTEN",,,,,,,"MISS 3PTR by KENNEBREW,KRISTEN",1,three pointer,missed,oglethorpe,kristen kennebrew,,916
41,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,41,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
42,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,42,14:55,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,895
43,17,oglethorpe,Oglethorpe,Centre College,55-72,55,72,"29, 26, 55","40, 32, 72",29,26,55,40,32,72,"7-11, 3-5 SAA","8-11, 3-5 SAA",02/01/15,Lose,337,No Location Recorded,1:00 PM,H,43,--,"REBOUND DEF by HUGHES,CIAIRA",,,,,,,"REBOUND DEF by HUGHES,CIAIRA",1,defensive rebound,,oglethorpe,ciaira hughes,,
