,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Cent,Away Team Score,Play Team Indicator,Home Team Score,Berea,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,16,--,,,,,"REBOUND OFF by CALHOUN,ALEXUS",,,"REBOUND OFF by CALHOUN,ALEXUS",1,offensive rebound,,berea college,alexus calhoun,,
17,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,17,19:08,,,,,"MISS 2PTR by CALHOUN,ALEXUS",,,"MISS 2PTR by CALHOUN,ALEXUS",1,two pointer,miss,berea college,,,1148
18,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,18,--,,,,,"REBOUND OFF by SMALL,ZACCHEA",,,"REBOUND OFF by SMALL,ZACCHEA",1,offensive rebound,,berea college,zacchea small,,
19,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,19,18:56,,,,,"TURNOVER  by CALHOUN,ALEXUS",,,"TURNOVER  by CALHOUN,ALEXUS",1,turnover,,berea college,alexus calhoun,,1136
20,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,20,18:34,"TURNOVER  by JUDY,MICHELLE",,,,,,,"TURNOVER  by JUDY,MICHELLE",1,turnover,,Centre,michelle judy,,1114
21,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,21,18:28,,0,,4 (+4),"GOOD 2PTR by WARREN,JOHNESHA",Berea 0-4 (-4),,"GOOD 2PTR by WARREN,JOHNESHA",1,two pointer,good,berea college,,2,1108
22,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,22,18:07,"MISS 2PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 2PTR by HARTLAGE,MAGGIE",1,two pointer,miss,Centre,,,1087
23,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,23,--,"REBOUND OFF by JUDY,MICHELLE",,,,,,,"REBOUND OFF by JUDY,MICHELLE",1,offensive rebound,,Centre,michelle judy,,
24,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,24,17:57,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,1077
25,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,25,--,,,,,"REBOUND DEF by BUTLER,KATELYN",,,"REBOUND DEF by BUTLER,KATELYN",1,defensive rebound,,berea college,katelyn butler,,
