,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,1,19:39,"TURNOVER  by HARTLAGE,MAGGIE",,,,,,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1179
2,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,2,19:38,,,,,"STEAL  by DYSLIN,SARA",,,"STEAL  by DYSLIN,SARA",1,steal,,hendrix,,,1178
3,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,3,19:14,,,,,"MISS JUMPER by KRIESEL-BIGLER,CAIT",,,"MISS JUMPER by KRIESEL-BIGLER,CAIT",1,jumper,missed,hendrix,cait kriesel-bigler,,1154
4,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,4,--,"REBOUND DEF by COLLIVER,OLIVIA",,,,,,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
5,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,5,19:00,"GOOD LAYUP by GUY,ALEXIS(in the paint)",2 (+2),,0,,CENTRE_W 2-0 (+2),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1140
6,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,6,18:55,"FOUL  by RHULE,BONNIE",,,,,,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,1135
7,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,7,18:43,,2,,2,"GOOD LAYUP by DYSLIN,SARA(in the paint)",HC 2-2 (0),,"GOOD LAYUP by DYSLIN,SARA(in the paint)",1,layup,good,hendrix,sara dyslin,2,1123
8,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,8,--,,,,,"ASSIST  by KRIESEL-BIGLER,CAIT",,,"ASSIST  by KRIESEL-BIGLER,CAIT",1,assist,,hendrix,cait kriesel-bigler,,
9,15,hendrix,Centre,Hendrix,61-70,61,70,"30, 31, 61","34, 36, 70",30,31,61,34,36,70,"6-10, 2-4 SAA","9-8, 4-2 SAA",01/25/15,Lose,295,No Location Recorded,12 p.m.,A,9,18:18,"MISS LAYUP by HARTLAGE,MAGGIE",,,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,1098
