,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,GRO,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,16,17:34,,,,,"TURNOVER  by COLLIVER,OLIVIA",,,"TURNOVER  by COLLIVER,OLIVIA",1,turnover,,Centre,olivia colliver,,1054
17,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,17,17:34,"SUB IN by SHIREY,KELSEY",,,,,,,"SUB IN by SHIREY,KELSEY",1,subbing in,,grove city,kelsey shirey,,1054
18,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,18,17:34,"SUB OUT by ARKWRIGHT,LEXIE",,,,,,,"SUB OUT by ARKWRIGHT,LEXIE",1,subbing out,,grove city,lexie arkwright,,1054
19,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,19,17:19,"TURNOVER  by SHIREY,KELSEY",,,,,,,"TURNOVER  by SHIREY,KELSEY",1,turnover,,grove city,kelsey shirey,,1039
20,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,20,17:12,,,,,"STEAL  by GUY,ALEXIS",,,"STEAL  by GUY,ALEXIS",1,steal,,Centre,,,1032
21,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,21,17:11,"FOUL  by SHIREY,KELSEY",,,,,,,"FOUL  by SHIREY,KELSEY",1,foul,,grove city,kelsey shirey,,1031
22,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,22,17:11,,,,,"MISS FT by GUY,ALEXIS",,,"MISS FT by GUY,ALEXIS",1,free throw,missed,Centre,alexis guy,,1031
23,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,23,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
24,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,24,17:11,,2,,8 (+6),"GOOD FT by GUY,ALEXIS",CENTRE_W 2-8 (+6),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,1031
25,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,25,17:06,"TURNOVER  by NICKOLOFF,BRANDY",,,,,,,"TURNOVER  by NICKOLOFF,BRANDY",1,turnover,,grove city,brandy nickoloff,,1026
26,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,26,17:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1026
27,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,27,17:03,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,1023
28,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,28,17:03,,,,,"FOUL  by GUY,ALEXIS",,,"FOUL  by GUY,ALEXIS",1,foul,,Centre,alexis guy,,1023
29,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,29,17:03,,,,,"SUB IN by LEWIS,KENDALL",,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,1023
30,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,30,17:03,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,1023
31,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,31,16:39,"TURNOVER  by NICKOLOFF,BRANDY",,,,,,,"TURNOVER  by NICKOLOFF,BRANDY",1,turnover,,grove city,brandy nickoloff,,999
32,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,32,16:38,,,,,"STEAL  by RHULE,BONNIE",,,"STEAL  by RHULE,BONNIE",1,steal,,Centre,,,998
33,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,33,16:35,,2,,10 (+8),"GOOD LAYUP by RHULE,BONNIE(fastbreak)(in the paint)",CENTRE_W 2-10 (+8),,"GOOD LAYUP by RHULE,BONNIE(fastbreak)(in the paint)",1,layup,good,Centre,bonnie(fastbreak) rhule,2,995
34,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,34,16:22,"TURNOVER  by DALLATORE,TERESA",,,,,,,"TURNOVER  by DALLATORE,TERESA",1,turnover,,grove city,teresa dallatore,,982
35,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,35,16:22,"SUB IN by GALENS,NATALIJA",,,,,,,"SUB IN by GALENS,NATALIJA",1,subbing in,,grove city,natalija galens,,982
36,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,36,16:22,"SUB IN by ARKWRIGHT,LEXIE",,,,,,,"SUB IN by ARKWRIGHT,LEXIE",1,subbing in,,grove city,lexie arkwright,,982
37,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,37,16:22,"SUB IN by STEWART,JACKIE",,,,,,,"SUB IN by STEWART,JACKIE",1,subbing in,,grove city,jackie stewart,,982
38,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,38,16:22,"SUB OUT by ERBELDING,KATHRYN",,,,,,,"SUB OUT by ERBELDING,KATHRYN",1,subbing out,,grove city,kathryn erbelding,,982
39,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,39,16:22,"SUB OUT by NICKOLOFF,BRANDY",,,,,,,"SUB OUT by NICKOLOFF,BRANDY",1,subbing out,,grove city,brandy nickoloff,,982
40,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,40,16:22,"SUB OUT by DALLATORE,TERESA",,,,,,,"SUB OUT by DALLATORE,TERESA",1,subbing out,,grove city,teresa dallatore,,982
41,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,41,15:55,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,955
42,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,42,--,"REBOUND DEF by MCCLEAN,CAYLEY",,,,,,,"REBOUND DEF by MCCLEAN,CAYLEY",1,defensive rebound,,grove city,cayley mcclean,,
43,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,43,15:24,"MISS JUMPER by SHIREY,KELSEY",,,,,,,"MISS JUMPER by SHIREY,KELSEY",1,jumper,missed,grove city,kelsey shirey,,924
44,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,44,--,"REBOUND OFF by MCCLEAN,CAYLEY",,,,,,,"REBOUND OFF by MCCLEAN,CAYLEY",1,offensive rebound,,grove city,cayley mcclean,,
45,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,45,15:06,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,906
46,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,46,15:06,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,906
47,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,47,15:06,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,906
48,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,48,15:06,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,906
49,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,49,15:06,,,,,"SUB OUT by COLLIVER,OLIVIA",,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,906
50,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,50,15:06,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,906
51,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,51,15:02,,,,,"FOUL  by SCHAD,OLIVIA",,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,902
52,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,52,15:02,"MISS FT by GALENS,NATALIJA",,,,,,,"MISS FT by GALENS,NATALIJA",1,free throw,missed,grove city,natalija galens,,902
53,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,53,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
54,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,54,15:02,"GOOD FT by GALENS,NATALIJA",3,,10 (+7),,GRO 3-10 (+7),,"GOOD FT by GALENS,NATALIJA",1,free throw,good,grove city,natalija galens,1,902
55,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,55,15:02,"SUB IN by DALLATORE,TERESA",,,,,,,"SUB IN by DALLATORE,TERESA",1,subbing in,,grove city,teresa dallatore,,902
56,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,56,15:02,"SUB OUT by SHIREY,KELSEY",,,,,,,"SUB OUT by SHIREY,KELSEY",1,subbing out,,grove city,kelsey shirey,,902
57,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,57,14:54,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,894
58,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,58,14:52,"STEAL  by ARKWRIGHT,LEXIE",,,,,,,"STEAL  by ARKWRIGHT,LEXIE",1,steal,,grove city,,,892
59,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,59,14:46,"GOOD JUMPER by MCCLEAN,CAYLEY",5,,10 (+5),,GRO 5-10 (+5),,"GOOD JUMPER by MCCLEAN,CAYLEY",1,jumper,good,grove city,cayley mcclean,2,886
60,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,60,--,"ASSIST  by DALLATORE,TERESA",,,,,,,"ASSIST  by DALLATORE,TERESA",1,assist,,grove city,teresa dallatore,,
61,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,61,14:33,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,873
62,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,62,14:32,"STEAL  by ARKWRIGHT,LEXIE",,,,,,,"STEAL  by ARKWRIGHT,LEXIE",1,steal,,grove city,,,872
63,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,63,14:25,,,,,"FOUL  by LEWIS,KENDALL",,,"FOUL  by LEWIS,KENDALL",1,foul,,Centre,kendall lewis,,865
64,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,64,14:25,"MISS FT by ARKWRIGHT,LEXIE",,,,,,,"MISS FT by ARKWRIGHT,LEXIE",1,free throw,missed,grove city,lexie arkwright,,865
65,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,65,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
66,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,66,14:25,"MISS FT by ARKWRIGHT,LEXIE",,,,,,,"MISS FT by ARKWRIGHT,LEXIE",1,free throw,missed,grove city,lexie arkwright,,865
67,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,67,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
68,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,68,14:25,"SUB IN by ERBELDING,KATHRYN",,,,,,,"SUB IN by ERBELDING,KATHRYN",1,subbing in,,grove city,kathryn erbelding,,865
69,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,69,14:25,"SUB OUT by GALENS,NATALIJA",,,,,,,"SUB OUT by GALENS,NATALIJA",1,subbing out,,grove city,natalija galens,,865
70,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,70,14:25,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,865
71,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,71,14:25,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,865
72,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,72,14:25,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,865
73,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,73,14:25,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,865
74,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,74,14:20,"MISS JUMPER by MCCLEAN,CAYLEY",,,,,,,"MISS JUMPER by MCCLEAN,CAYLEY",1,jumper,missed,grove city,cayley mcclean,,860
75,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,75,--,"REBOUND OFF by ERBELDING,KATHRYN",,,,,,,"REBOUND OFF by ERBELDING,KATHRYN",1,offensive rebound,,grove city,kathryn erbelding,,
