,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SEWANEEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,1,19:28,"MISS JUMPER by CHAUVIN,JAMIE",,,,,,,"MISS JUMPER by CHAUVIN,JAMIE",1,jumper,missed,sewanee,jamie chauvin,,1168
2,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,2,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
3,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,3,19:21,"GOOD 3PTR by ROSE,SAVANNAH",3 (+3),,0,,SEWANEEW 3-0 (-3),,"GOOD 3PTR by ROSE,SAVANNAH",1,three pointer,good,sewanee,savannah rose,3,1161
4,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,4,--,"ASSIST  by HASSETT,CASEY",,,,,,,"ASSIST  by HASSETT,CASEY",1,assist,,sewanee,casey hassett,,
5,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,5,19:15,,3 (+1),,2,"GOOD LAYUP by GUY,ALEXIS(in the paint)",CENTRE_W 3-2 (-1),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1155
6,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,6,18:57,"GOOD LAYUP by HASSETT,CASEY(in the paint)",5 (+3),,2,,SEWANEEW 5-2 (-3),,"GOOD LAYUP by HASSETT,CASEY(in the paint)",1,layup,good,sewanee,casey hassett,2,1137
7,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,7,--,"ASSIST  by SEWELL,KAYLA",,,,,,,"ASSIST  by SEWELL,KAYLA",1,assist,,sewanee,kayla sewell,,
8,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,8,18:40,,5 (+1),,4,"GOOD JUMPER by KELLAM,PAIGE",CENTRE_W 5-4 (-1),,"GOOD JUMPER by KELLAM,PAIGE",1,jumper,good,Centre,paige kellam,2,1120
9,13,sewanee,Sewanee,Centre College,62-71,62,71,"35, 27, 62","36, 35, 71",35,27,62,36,35,71,"6-8, 2-2 SAA","10-4, 2-2 SAA",01/17/15,Lose,273,No Location Recorded,1:00 PM,H,9,--,,,,,"ASSIST  by COLLIVER,OLIVIA",,,"ASSIST  by COLLIVER,OLIVIA",1,assist,,Centre,olivia colliver,,
