,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,1,19:18,"GOOD LAYUP by KING,ANNA(in the paint)",2 (+2),,0,,HC 2-0 (-2),,"GOOD LAYUP by KING,ANNA(in the paint)",1,layup,good,hendrix,anna king,2,1158
2,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,2,--,"ASSIST  by GALLIEN,KATY",,,,,,,"ASSIST  by GALLIEN,KATY",1,assist,,hendrix,katy gallien,,
3,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,3,18:17,,2,,2,"GOOD LAYUP by GUY,ALEXIS(in the paint)",CENTRE_W 2-2 (0),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1097
4,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,4,17:31,"MISS 3PTR by KING,ANNA",,,,,,,"MISS 3PTR by KING,ANNA",1,three pointer,missed,hendrix,anna king,,1051
5,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,5,--,"REBOUND OFF by DYSLIN,SARA",,,,,,,"REBOUND OFF by DYSLIN,SARA",1,offensive rebound,,hendrix,sara dyslin,,
6,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,6,16:53,"GOOD 3PTR by KRIESEL-BIGLER,CAIT",5 (+3),,2,,HC 5-2 (-3),,"GOOD 3PTR by KRIESEL-BIGLER,CAIT",1,three pointer,good,hendrix,cait kriesel-bigler,3,1013
7,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,7,15:51,,5 (+1),,4,"GOOD JUMPER by GUY,ALEXIS",CENTRE_W 5-4 (-1),,"GOOD JUMPER by GUY,ALEXIS",1,jumper,good,Centre,alexis guy,2,951
8,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,8,15:10,"MISS LAYUP by KING,ANNA",,,,,,,"MISS LAYUP by KING,ANNA",1,layup,missed,hendrix,anna king,,910
9,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,9,--,,,,,"REBOUND DEF by COLLIVER,OLIVIA",,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
10,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,10,14:28,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,868
11,19,hendrix,Hendrix,Centre College,56-68,56,68,"25, 31, 56","38, 30, 68",25,31,56,38,30,68,"8-12, 4-6 SAA","10-11, 5-5 SAA",02/08/15,Lose,250,No Location Recorded,12 p.m.,H,11,14:25,"STEAL  by DYSLIN,SARA",,,,,,,"STEAL  by DYSLIN,SARA",1,steal,,hendrix,,,865
