,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,15,18:00,,0,,10 (+10),"GOOD LAYUP by GUY,ALEXIS(in the paint)",CENTRE_W 0-10 (+10),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1080
16,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,16,17:37,"MISS 3PTR by TODMAN,DY'NELLE",,,,,,,"MISS 3PTR by TODMAN,DY'NELLE",1,three pointer,missed,rhodes college,dy'nelle todman,,1057
17,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,17,--,"REBOUND OFF by JOHNSON,SARAH",,,,,,,"REBOUND OFF by JOHNSON,SARAH",1,offensive rebound,,rhodes college,sarah johnson,,
18,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,18,17:34,,,,,"FOUL  by RHULE,BONNIE",,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,1054
19,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,19,17:32,"MISS LAYUP by DANIELS,SYMONE",,,,,,,"MISS LAYUP by DANIELS,SYMONE",1,layup,missed,rhodes college,symone daniels,,1052
20,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,20,--,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
21,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,21,17:22,"FOUL  by GOODRUM,NATALIE",,,,,,,"FOUL  by GOODRUM,NATALIE",1,foul,,rhodes college,natalie goodrum,,1042
22,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,22,17:22,,0,,11 (+11),"GOOD FT by GUY,ALEXIS",CENTRE_W 0-11 (+11),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,1042
23,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,23,17:22,,0,,12 (+12),"GOOD FT by GUY,ALEXIS",CENTRE_W 0-12 (+12),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,1042
24,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,24,17:22,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,1042
