,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,16,17:32,,,,,"TURNOVER  by COLLIVER,OLIVIA",,,"TURNOVER  by COLLIVER,OLIVIA",1,turnover,,Centre,olivia colliver,,1052
17,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,17,17:30,"STEAL  by OWINGS,ABBY",,,,,,,"STEAL  by OWINGS,ABBY",1,steal,,thomas more college,,,1050
18,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,18,17:29,"MISS LAYUP by OWINGS,ABBY",,,,,,,"MISS LAYUP by OWINGS,ABBY",1,layup,missed,thomas more college,abby owings,,1049
19,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,19,--,"REBOUND OFF by SANTAMARIA,ALEXA",,,,,,,"REBOUND OFF by SANTAMARIA,ALEXA",1,offensive rebound,,thomas more college,alexa santamaria,,
20,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,20,17:10,"TURNOVER  by SANTAMARIA,ALEXA",,,,,,,"TURNOVER  by SANTAMARIA,ALEXA",1,turnover,,thomas more college,alexa santamaria,,1030
21,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,21,17:04,,,,,"MISS JUMPER by JUDY,MICHELE",,,"MISS JUMPER by JUDY,MICHELE",1,jumper,missed,Centre,michele judy,,1024
22,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,22,--,"REBOUND DEF by MOSS,SYDNEY",,,,,,,"REBOUND DEF by MOSS,SYDNEY",1,defensive rebound,,thomas more college,sydney moss,,
23,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,23,16:57,"MISS 3PTR by OWINGS,ABBY",,,,,,,"MISS 3PTR by OWINGS,ABBY",1,three pointer,missed,thomas more college,abby owings,,1017
24,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,24,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
25,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,25,16:51,,8 (+4),,4,"GOOD JUMPER by JUDY,MICHELE",CENTRE_W 8-4 (-4),,"GOOD JUMPER by JUDY,MICHELE",1,jumper,good,Centre,michele judy,2,1011
26,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,26,16:36,"GOOD JUMPER by CADY,SAM",10 (+6),,4,,TMCW 10-4 (-6),,"GOOD JUMPER by CADY,SAM",1,jumper,good,thomas more college,sam cady,2,996
27,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,27,16:14,,10 (+4),,6,"GOOD JUMPER by JUDY,MICHELE",CENTRE_W 10-6 (-4),,"GOOD JUMPER by JUDY,MICHELE",1,jumper,good,Centre,michele judy,2,974
28,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,28,--,,,,,"ASSIST  by COLLIVER,OLIVIA",,,"ASSIST  by COLLIVER,OLIVIA",1,assist,,Centre,olivia colliver,,
29,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,29,16:00,"MISS LAYUP by MOSS,SYDNEY",,,,,,,"MISS LAYUP by MOSS,SYDNEY",1,layup,missed,thomas more college,sydney moss,,960
30,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,30,--,"REBOUND OFF by WAINSCOTT,SYDNI",,,,,,,"REBOUND OFF by WAINSCOTT,SYDNI",1,offensive rebound,,thomas more college,sydni wainscott,,
31,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,31,15:55,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,955
32,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,32,15:55,,,,,"SUB IN by MCKNIGHT,KAITLYN",,,"SUB IN by MCKNIGHT,KAITLYN",1,subbing in,,Centre,kaitlyn mcknight,,955
33,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,33,15:55,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,955
