,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,17,--,"REBOUND OFF by WILLIAMS,KALA",,,,,,,"REBOUND OFF by WILLIAMS,KALA",1,offensive rebound,,rust,kala williams,,
18,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,18,18:06,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,1086
19,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,19,18:06,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,1086
20,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,20,18:03,"MISS LAYUP by WILLIAMS,KALA",,,,,,,"MISS LAYUP by WILLIAMS,KALA",1,layup,missed,rust,kala williams,,1083
21,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,21,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
22,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,22,17:44,,0,,7 (+7),"GOOD LAYUP by JUDY,MICHELE(in the paint)",CENTRE_W 0-7 (+7),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,1064
23,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,23,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
24,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,24,17:14,"MISS JUMPER by SUGGS,SUZZETTE",,,,,,,"MISS JUMPER by SUGGS,SUZZETTE",1,jumper,missed,rust,suzzette suggs,,1034
25,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,25,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
26,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,26,17:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,1030
