,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,16,--,,,,,"REBOUND DEF by PIERCE,ZARRIAH",,,"REBOUND DEF by PIERCE,ZARRIAH",1,defensive rebound,,berry college,zarriah pierce,,
17,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,17,17:47,,,,,"TURNOVER  by SMITH,IMANI",,,"TURNOVER  by SMITH,IMANI",1,turnover,,berry college,imani smith,,1067
18,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,18,17:29,"GOOD LAYUP by COLLIVER,OLIVIA(in the paint)",4 (+1),,3,,CENTREW 4-3 (+1),,"GOOD LAYUP by COLLIVER,OLIVIA(in the paint)",1,layup,good,Centre,olivia colliver,2,1049
19,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,19,17:17,,4,,5 (+1),"GOOD LAYUP by PIERCE,ZARRIAH(in the paint)",BCW 4-5 (-1),,"GOOD LAYUP by PIERCE,ZARRIAH(in the paint)",1,layup,good,berry college,zarriah pierce,2,1037
20,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,20,16:51,"GOOD JUMPER by GUY,ALEXIS",6 (+1),,5,,CENTREW 6-5 (+1),,"GOOD JUMPER by GUY,ALEXIS",1,jumper,good,Centre,alexis guy,2,1011
21,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,21,--,"ASSIST  by RHULE,BONNIE",,,,,,,"ASSIST  by RHULE,BONNIE",1,assist,,Centre,bonnie rhule,,
22,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,22,16:42,,6,,7 (+1),"GOOD LAYUP by COOK,EMMA(fastbreak)(in the paint)",BCW 6-7 (-1),,"GOOD LAYUP by COOK,EMMA(fastbreak)(in the paint)",1,layup,good,berry college,emma(fastbreak) cook,2,1002
23,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,23,--,,,,,"ASSIST  by SEGARRA,CHANLIR",,,"ASSIST  by SEGARRA,CHANLIR",1,assist,,berry college,chanlir segarra,,
24,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,24,16:20,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,980
25,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,25,--,,,,,"REBOUND DEF by SEGARRA,CHANLIR",,,"REBOUND DEF by SEGARRA,CHANLIR",1,defensive rebound,,berry college,chanlir segarra,,
26,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,26,16:12,"FOUL  by RHULE,BONNIE",,,,,,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,972
27,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,27,16:12,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,972
28,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,28,16:12,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,972
29,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,29,16:12,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,972
30,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,30,16:12,"SUB IN by LEWIS,KENDALL",,,,,,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,972
31,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,31,16:12,"SUB OUT by GUY,ALEXIS",,,,,,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,972
32,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,32,16:12,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,972
33,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,33,16:12,"SUB OUT by COLLIVER,OLIVIA",,,,,,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,972
