,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,14,18:26,,2,,2,"GOOD LAYUP by BATTS,JASMYNN(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by BATTS,JASMYNN(in the paint)",1,layup,good,birmingham-southern,jasmynn batts,2,1106
15,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,15,18:02,"MISS LAYUP by COLLIVER,OLIVIA",,,,,,,"MISS LAYUP by COLLIVER,OLIVIA",1,layup,missed,Centre,olivia colliver,,1082
16,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,16,--,,,,,"REBOUND DEF by CARTER,CAMILLIA",,,"REBOUND DEF by CARTER,CAMILLIA",1,defensive rebound,,birmingham-southern,camillia carter,,
17,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,17,17:50,,,,,"TURNOVER  by HOLMES,JAMEICE",,,"TURNOVER  by HOLMES,JAMEICE",1,turnover,,birmingham-southern,jameice holmes,,1070
18,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,18,17:48,"STEAL  by RHULE,BONNIE",,,,,,,"STEAL  by RHULE,BONNIE",1,steal,,Centre,,,1068
19,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,19,17:38,"GOOD LAYUP by KELLAM,PAIGE(in the paint)",4 (+2),,2,,CENTRE_W 4-2 (+2),,"GOOD LAYUP by KELLAM,PAIGE(in the paint)",1,layup,good,Centre,paige kellam,2,1058
20,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,20,--,"ASSIST  by COLLIVER,OLIVIA",,,,,,,"ASSIST  by COLLIVER,OLIVIA",1,assist,,Centre,olivia colliver,,
21,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,21,17:29,,,,,"SUB IN by PEURSEM,LAURA VAN",,,"SUB IN by PEURSEM,LAURA VAN",1,subbing in,,birmingham-southern,laura van peursem,,1049
22,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,22,17:29,,,,,"SUB IN by DEBAETS,BREANNE",,,"SUB IN by DEBAETS,BREANNE",1,subbing in,,birmingham-southern,breanne debaets,,1049
23,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,23,17:29,,,,,"SUB IN by ADAMS,ALEXIS",,,"SUB IN by ADAMS,ALEXIS",1,subbing in,,birmingham-southern,alexis adams,,1049
