,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,1,20:00,"SUB IN by BRADSHAW,DEMETRIUS",,,,,,,"SUB IN by BRADSHAW,DEMETRIUS",1,subbing in,,rust,demetrius bradshaw,,1200
2,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,2,20:00,"SUB OUT by WILLIAMS,KALA",,,,,,,"SUB OUT by WILLIAMS,KALA",1,subbing out,,rust,kala williams,,1200
3,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,3,19:35,"MISS 3PTR by LEWIS,SHERMEKA",,,,,,,"MISS 3PTR by LEWIS,SHERMEKA",1,three pointer,missed,rust,shermeka lewis,,1175
4,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,4,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
5,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,5,19:27,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,1167
6,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,6,19:25,"STEAL  by LEWIS,SHERMEKA",,,,,,,"STEAL  by LEWIS,SHERMEKA",1,steal,,rust,,,1165
7,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,7,19:13,"MISS LAYUP by BRADSHAW,DEMETRIUS",,,,,,,"MISS LAYUP by BRADSHAW,DEMETRIUS",1,layup,missed,rust,demetrius bradshaw,,1153
8,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,8,--,,,,,"REBOUND DEF by COLLIVER,OLIVIA",,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
9,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,9,19:06,,0,,3 (+3),"GOOD 3PTR by RHULE,BONNIE(fastbreak)",CENTRE_W 0-3 (+3),,"GOOD 3PTR by RHULE,BONNIE(fastbreak)",1,three pointer,good,Centre,bonnie(fastbreak) rhule,3,1146
10,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,10,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
11,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,11,18:39,"MISS LAYUP by BRADSHAW,DEMETRIUS",,,,,,,"MISS LAYUP by BRADSHAW,DEMETRIUS",1,layup,missed,rust,demetrius bradshaw,,1119
12,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,12,--,,,,,"REBOUND DEF by COLLIVER,OLIVIA",,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
13,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,13,18:31,,,,,"MISS 3PTR by GUY,ALEXIS",,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,1111
14,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,14,--,"REBOUND DEF by LEWIS,SHERMEKA",,,,,,,"REBOUND DEF by LEWIS,SHERMEKA",1,defensive rebound,,rust,shermeka lewis,,
15,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,15,18:12,"MISS 3PTR by LEWIS,SHERMEKA",,,,,,,"MISS 3PTR by LEWIS,SHERMEKA",1,three pointer,missed,rust,shermeka lewis,,1092
16,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,16,--,,,,,"REBOUND DEF by COLLIVER,OLIVIA",,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
17,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,17,17:58,,,,,"MISS LAYUP by KELLAM,PAIGE",,,"MISS LAYUP by KELLAM,PAIGE",1,layup,missed,Centre,paige kellam,,1078
18,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,18,--,"REBOUND DEF by SUGGS,SUZZETTE",,,,,,,"REBOUND DEF by SUGGS,SUZZETTE",1,defensive rebound,,rust,suzzette suggs,,
19,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,19,17:29,,,,,"FOUL  by RHULE,BONNIE",,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,1049
20,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,20,17:29,"GOOD FT by BRADSHAW,DEMETRIUS",1,,3 (+2),,RUST 1-3 (+2),,"GOOD FT by BRADSHAW,DEMETRIUS",1,free throw,good,rust,demetrius bradshaw,1,1049
21,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,21,17:29,"GOOD FT by BRADSHAW,DEMETRIUS",2,,3 (+1),,RUST 2-3 (+1),,"GOOD FT by BRADSHAW,DEMETRIUS",1,free throw,good,rust,demetrius bradshaw,1,1049
22,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,22,17:29,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,1049
23,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,23,17:29,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,1049
24,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,24,17:13,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1033
25,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,25,17:03,"GOOD LAYUP by SUGGS,SUZZETTE(fastbreak)(in the paint)",4 (+1),,3,,RUST 4-3 (-1),,"GOOD LAYUP by SUGGS,SUZZETTE(fastbreak)(in the paint)",1,layup,good,rust,suzzette(fastbreak) suggs,2,1023
26,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,26,--,"ASSIST  by RUDGLEY,KEANDRA",,,,,,,"ASSIST  by RUDGLEY,KEANDRA",1,assist,,rust,keandra rudgley,,
27,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,27,16:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1019
28,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,28,16:49,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,1009
29,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,29,--,"REBOUND DEF by LEWIS,SHERMEKA",,,,,,,"REBOUND DEF by LEWIS,SHERMEKA",1,defensive rebound,,rust,shermeka lewis,,
30,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,30,16:32,"MISS LAYUP by SUGGS,SUZZETTE",,,,,,,"MISS LAYUP by SUGGS,SUZZETTE",1,layup,missed,rust,suzzette suggs,,992
31,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,31,--,,,,,"REBOUND DEF by ANDREASSEN,CAROLINE",,,"REBOUND DEF by ANDREASSEN,CAROLINE",1,defensive rebound,,Centre,caroline andreassen,,
32,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,32,16:09,,,,,"MISS JUMPER by GUY,ALEXIS",,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,969
33,7,rust,RUST,CENTRE_W,62-60,62,60,"26, 36, 62","36, 24, 60",26,36,62,36,24,60,3-4,3-11,12/19/14,Win,192,No Location Recorded,5 p.m.,H,33,--,,,,,"REBOUND OFF by GUY,ALEXIS",,,"REBOUND OFF by GUY,ALEXIS",1,offensive rebound,,Centre,alexis guy,,
