,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREWB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,15,17:17,,0,,4 (+4),"GOOD JUMPER by BROOKS,MIAH(in the paint)",MILLSAPW 0-4 (-4),,"GOOD JUMPER by BROOKS,MIAH(in the paint)",1,jumper,good,millsapswbb,miah brooks,2,1037
16,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,16,--,,,,,"ASSIST  by FREEMAN,KALA",,,"ASSIST  by FREEMAN,KALA",1,assist,,millsapswbb,kala freeman,,
17,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,17,16:57,"MISS JUMPER by KELLAM,PAIGE",,,,,,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,1017
18,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,18,--,,,,,"REBOUND DEF by BROOKS,MIAH",,,"REBOUND DEF by BROOKS,MIAH",1,defensive rebound,,millsapswbb,miah brooks,,
19,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,19,16:40,,,,,"MISS JUMPER by RANDLE,KELLI",,,"MISS JUMPER by RANDLE,KELLI",1,jumper,missed,millsapswbb,kelli randle,,1000
20,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,20,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
21,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,21,16:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,996
22,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,22,16:31,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,991
23,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,23,16:31,"SUB OUT by COLLIVER,OLIVIA",,,,,,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,991
24,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,24,16:25,"MISS JUMPER by KELLAM,PAIGE",,,,,,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,985
25,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,25,--,"REBOUND OFF by GUY,ALEXIS",,,,,,,"REBOUND OFF by GUY,ALEXIS",1,offensive rebound,,Centre,alexis guy,,
26,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,26,16:20,,,,,"FOUL  by RANDLE,KELLI",,,"FOUL  by RANDLE,KELLI",1,foul,,millsapswbb,kelli randle,,980
27,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,27,16:20,"MISS FT by GUY,ALEXIS",,,,,,,"MISS FT by GUY,ALEXIS",1,free throw,missed,Centre,alexis guy,,980
28,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,28,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
29,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,29,16:20,"GOOD FT by GUY,ALEXIS",1,,4 (+3),,CENTREWB 1-4 (-3),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,980
30,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,30,16:20,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,980
31,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,31,16:20,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,980
32,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,32,16:13,,,,,"TURNOVER  by HOLMES,BEVERLY",,,"TURNOVER  by HOLMES,BEVERLY",1,turnover,,millsapswbb,beverly holmes,,973
33,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,33,16:09,"STEAL  by SCHAD,OLIVIA",,,,,,,"STEAL  by SCHAD,OLIVIA",1,steal,,Centre,,,969
34,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,34,15:49,"MISS JUMPER by GUY,ALEXIS",,,,,,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,949
35,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,35,--,,,,,"REBOUND DEF by HOLMES,BEVERLY",,,"REBOUND DEF by HOLMES,BEVERLY",1,defensive rebound,,millsapswbb,beverly holmes,,
36,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,36,15:31,,,,,"MISS JUMPER by HOLMES,BEVERLY",,,"MISS JUMPER by HOLMES,BEVERLY",1,jumper,missed,millsapswbb,beverly holmes,,931
37,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,37,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
38,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,38,15:27,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,927
39,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,39,15:27,"SUB IN by MCKNIGHT,KAITLYN",,,,,,,"SUB IN by MCKNIGHT,KAITLYN",1,subbing in,,Centre,kaitlyn mcknight,,927
40,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,40,15:27,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,927
41,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,41,15:16,,,,,"TURNOVER  by FREEMAN,KALA",,,"TURNOVER  by FREEMAN,KALA",1,turnover,,millsapswbb,kala freeman,,916
42,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,42,14:58,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,898
43,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,43,--,,,,,"REBOUND DEF by BROOKS,MIAH",,,"REBOUND DEF by BROOKS,MIAH",1,defensive rebound,,millsapswbb,miah brooks,,
44,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,44,14:39,,,,,"MISS LAYUP by BROOKS,MIAH",,,"MISS LAYUP by BROOKS,MIAH",1,layup,missed,millsapswbb,miah brooks,,879
45,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,45,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
46,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,46,14:32,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,872
